epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1069.59,0.44059,0.2631,0.83098,0.66022,0.32797,0.35357,0.33545,0.36347,0.23781,0.80341,0.000369488,0.000369488,0.000369488
2,1652.24,0.43452,0.26237,0.82147,0.42756,0.49698,0.46566,0.4234,0.36739,0.26597,0.80281,0.000725173,0.000725173,0.000725173
3,2130.66,0.43415,0.26818,0.82406,0.64071,0.33186,0.41121,0.37975,0.38505,0.25631,0.81279,0.00106619,0.00106619,0.00106619
4,3394.74,0.44074,0.2756,0.82903,0.6399,0.33139,0.49892,0.46278,0.38485,0.25443,0.80998,0.00104501,0.00104501,0.00104501
5,4764.18,0.43485,0.26959,0.82163,0.77003,0.49828,0.44415,0.41524,0.38083,0.24988,0.81111,0.00102301,0.00102301,0.00102301
6,6133.26,0.4327,0.27007,0.82385,0.28327,0.99892,0.74255,0.53217,0.39569,0.25945,0.81138,0.00100101,0.00100101,0.00100101
7,7219.38,0.43038,0.26789,0.82263,0.47351,0.83139,0.54901,0.4676,0.3688,0.24599,0.80535,0.000979013,0.000979013,0.000979013
8,7695.66,0.42512,0.26459,0.82048,0.47357,0.83182,0.55712,0.49959,0.36217,0.2528,0.80213,0.000957015,0.000957015,0.000957015
9,8169.21,0.41967,0.26191,0.82084,0.31012,0.83269,0.52682,0.47134,0.36737,0.24549,0.80647,0.000935018,0.000935018,0.000935018
10,8642.64,0.42,0.26241,0.82039,0.50995,0.83182,0.5348,0.49437,0.364,0.25087,0.80469,0.00091302,0.00091302,0.00091302
11,9116.03,0.41933,0.26124,0.82308,0.45718,0.83096,0.49206,0.45569,0.36735,0.24419,0.80879,0.000891022,0.000891022,0.000891022
12,9589.62,0.41142,0.25274,0.8175,0.82102,0.49612,0.4715,0.43822,0.35917,0.23287,0.80635,0.000869024,0.000869024,0.000869024
13,10063.5,0.41122,0.25495,0.81752,0.45247,0.83204,0.5716,0.51081,0.35365,0.23211,0.80514,0.000847026,0.000847026,0.000847026
14,10536.5,0.41455,0.25117,0.81921,0.52157,0.81023,0.60445,0.56429,0.36936,0.23698,0.80667,0.000825029,0.000825029,0.000825029
15,11010.1,0.40524,0.25035,0.81469,0.34606,0.83269,0.76255,0.67227,0.34908,0.2336,0.80142,0.000803031,0.000803031,0.000803031
