epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,340.949,0.34219,0.83825,1,0.46857,0.00333133,0.00333133,0.00333133
2,677.23,0.26983,0.9585,1,0.37232,0.00653271,0.00653271,0.00653271
3,951.23,0.24916,0.97575,1,0.35665,0.00960208,0.00960208,0.00960208
4,1206.16,0.23146,0.971,1,0.34914,0.009406,0.009406,0.009406
5,1460.17,0.18122,0.985,1,0.33976,0.009208,0.009208,0.009208
6,1709.51,0.15877,0.986,1,0.34548,0.00901,0.00901,0.00901
7,1962.53,0.14634,0.975,1,0.34325,0.008812,0.008812,0.008812
8,2210.97,0.13738,0.9875,1,0.33549,0.008614,0.008614,0.008614
9,2461.84,0.13058,0.9905,1,0.32794,0.008416,0.008416,0.008416
10,2711.86,0.12039,0.99175,1,0.32694,0.008218,0.008218,0.008218
11,2962.82,0.1176,0.99175,1,0.32595,0.00802,0.00802,0.00802
12,3211.36,0.10999,0.995,1,0.32213,0.007822,0.007822,0.007822
13,3461.38,0.10881,0.99175,1,0.32514,0.007624,0.007624,0.007624
14,3711.67,0.1065,0.9875,1,0.33017,0.007426,0.007426,0.007426
15,3959.74,0.10218,0.99225,1,0.32369,0.007228,0.007228,0.007228
16,4207.5,0.09763,0.993,1,0.32205,0.00703,0.00703,0.00703
17,4459.43,0.09724,0.99225,1,0.324,0.006832,0.006832,0.006832
18,4711.01,0.09481,0.9905,1,0.32492,0.006634,0.006634,0.006634
19,4958.27,0.09179,0.99175,1,0.3247,0.006436,0.006436,0.006436
20,5216.16,0.09077,0.99075,1,0.32665,0.006238,0.006238,0.006238
21,5471.22,0.08428,0.9935,1,0.3229,0.00604,0.00604,0.00604
22,5724.5,0.08418,0.99425,1,0.32115,0.005842,0.005842,0.005842
23,5975.81,0.08512,0.99275,1,0.32325,0.005644,0.005644,0.005644
24,6228.52,0.08205,0.99275,1,0.32283,0.005446,0.005446,0.005446
25,6483.15,0.07544,0.9915,1,0.32361,0.005248,0.005248,0.005248
26,6730.89,0.0735,0.99325,1,0.32204,0.00505,0.00505,0.00505
27,6979.07,0.07473,0.99325,1,0.32216,0.004852,0.004852,0.004852
28,7227.36,0.0735,0.99375,1,0.32249,0.004654,0.004654,0.004654
29,7475.72,0.07438,0.993,1,0.32267,0.004456,0.004456,0.004456
30,7724.1,0.06688,0.99375,1,0.32178,0.004258,0.004258,0.004258
31,7972.58,0.06742,0.99275,1,0.32196,0.00406,0.00406,0.00406
32,8222.84,0.06525,0.9935,1,0.32144,0.003862,0.003862,0.003862
33,8472.09,0.06231,0.99325,1,0.32135,0.003664,0.003664,0.003664
34,8720.19,0.06348,0.9925,1,0.322,0.003466,0.003466,0.003466
35,8968.29,0.062,0.9935,1,0.32171,0.003268,0.003268,0.003268
36,9215.87,0.06155,0.993,1,0.3218,0.00307,0.00307,0.00307
37,9464.58,0.05858,0.99275,1,0.32155,0.002872,0.002872,0.002872
38,9712.47,0.05439,0.99325,1,0.32163,0.002674,0.002674,0.002674
39,9961.37,0.05631,0.9925,1,0.32159,0.002476,0.002476,0.002476
40,10210.9,0.05149,0.993,1,0.32143,0.002278,0.002278,0.002278
41,10528.7,0.0545,0.993,1,0.32128,0.00208,0.00208,0.00208
42,10782.2,0.05171,0.993,1,0.32133,0.001882,0.001882,0.001882
43,11036.8,0.04831,0.993,1,0.32116,0.001684,0.001684,0.001684
44,11289.3,0.04537,0.9935,1,0.32103,0.001486,0.001486,0.001486
45,11539.8,0.04668,0.9935,1,0.32107,0.001288,0.001288,0.001288
46,11794,0.04379,0.99375,1,0.32095,0.00109,0.00109,0.00109
47,12044.7,0.04063,0.99375,1,0.3209,0.000892,0.000892,0.000892
48,12295.5,0.0419,0.99375,1,0.32086,0.000694,0.000694,0.000694
49,12548.7,0.0406,0.9935,1,0.32078,0.000496,0.000496,0.000496
50,12801.5,0.03699,0.99375,1,0.32071,0.000298,0.000298,0.000298
