epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.847,0.51896,0.462,0.77134,0.96372,0.96741,0.98829,0.8967,0.44934,0.38617,0.73704,0.000216958,0.000216958,0.000216958
2,264.74,0.5097,0.43979,0.75811,0.95719,0.9777,0.98953,0.88708,0.46282,0.38963,0.73278,0.000427748,0.000427748,0.000427748
3,397.368,0.50411,0.42962,0.74732,0.97567,0.96226,0.99061,0.89783,0.4687,0.40123,0.73284,0.000629829,0.000629829,0.000629829
4,537.517,0.50652,0.43813,0.75226,0.96342,0.97256,0.99059,0.8826,0.49411,0.41306,0.73566,0.000823199,0.000823199,0.000823199
5,672.413,0.49837,0.43138,0.74512,0.97424,0.97294,0.99208,0.89032,0.47642,0.39652,0.73568,0.000920618,0.000920618,0.000920618
6,817.05,0.489,0.42276,0.74039,0.97406,0.96627,0.99033,0.88859,0.46221,0.3958,0.73263,0.000900773,0.000900773,0.000900773
7,960.856,0.48412,0.42637,0.74305,0.96964,0.95369,0.99012,0.89527,0.47116,0.4039,0.73165,0.000880928,0.000880928,0.000880928
8,1106.34,0.47561,0.41177,0.73976,0.9676,0.97942,0.99005,0.89109,0.47233,0.40321,0.73436,0.000861082,0.000861082,0.000861082
9,1241.13,0.48102,0.41424,0.74029,0.96267,0.98113,0.98963,0.88978,0.47121,0.39643,0.73889,0.000841237,0.000841237,0.000841237
10,1382.63,0.48007,0.41398,0.74272,0.97366,0.98628,0.99194,0.89369,0.46958,0.38852,0.73512,0.000821391,0.000821391,0.000821391
11,1530.54,0.47679,0.40838,0.74388,0.97264,0.97563,0.99103,0.88822,0.46279,0.3836,0.7325,0.000801546,0.000801546,0.000801546
12,1669.09,0.45507,0.39148,0.73345,0.97276,0.98971,0.99183,0.89708,0.46684,0.38068,0.73249,0.000781701,0.000781701,0.000781701
13,1810.89,0.46388,0.39048,0.73609,0.97103,0.97744,0.99085,0.90209,0.46035,0.37362,0.73486,0.000761855,0.000761855,0.000761855
14,1951.09,0.45792,0.38379,0.73529,0.96801,0.98607,0.99096,0.90108,0.46368,0.3793,0.73137,0.00074201,0.00074201,0.00074201
