epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,94.2978,0.46195,0.96016,1,0.60703,0.000237493,0.000237493,0.000237493
2,173.58,0.24688,0.96335,1,0.59175,0.000466078,0.000466078,0.000466078
3,247.432,0.2513,0.95378,1,0.60611,0.000685238,0.000685238,0.000685238
4,321.051,0.24612,0.96096,1,0.59652,0.000671588,0.000671588,0.000671588
5,394.707,0.21983,0.97689,1,0.58999,0.000657451,0.000657451,0.000657451
6,468.058,0.17061,0.96972,1,0.58787,0.000643314,0.000643314,0.000643314
7,539.383,0.1741,0.97689,1,0.58422,0.000629177,0.000629177,0.000629177
8,611.801,0.14128,0.9753,1,0.57824,0.00061504,0.00061504,0.00061504
9,685.164,0.12182,0.98088,1,0.57636,0.000600902,0.000600902,0.000600902
10,758.787,0.12085,0.97131,1,0.58581,0.000586765,0.000586765,0.000586765
11,832.254,0.11692,0.98725,1,0.56843,0.000572628,0.000572628,0.000572628
12,906.418,0.13305,0.98406,1,0.5733,0.000558491,0.000558491,0.000558491
13,977.289,0.09637,0.98088,1,0.57236,0.000544354,0.000544354,0.000544354
14,1048.74,0.09317,0.98486,1,0.57005,0.000530216,0.000530216,0.000530216
15,1120.52,0.0995,0.96972,1,0.5865,0.000516079,0.000516079,0.000516079
16,1194.02,0.08402,0.98167,1,0.57056,0.000501942,0.000501942,0.000501942
17,1267.46,0.08335,0.97689,1,0.57801,0.000487805,0.000487805,0.000487805
18,1340.65,0.07766,0.98406,1,0.56772,0.000473668,0.000473668,0.000473668
19,1413.62,0.07393,0.98645,1,0.56736,0.00045953,0.00045953,0.00045953
20,1485.09,0.06382,0.98725,1,0.56736,0.000445393,0.000445393,0.000445393
21,1556.57,0.06587,0.99044,1,0.56333,0.000431256,0.000431256,0.000431256
22,1628.18,0.06791,0.98645,1,0.56508,0.000417119,0.000417119,0.000417119
23,1699.86,0.06527,0.98406,1,0.57032,0.000402982,0.000402982,0.000402982
24,1771.51,0.05367,0.98406,1,0.5667,0.000388844,0.000388844,0.000388844
25,1843.53,0.05559,0.98884,1,0.56336,0.000374707,0.000374707,0.000374707
26,1914.87,0.0516,0.99363,1,0.55922,0.00036057,0.00036057,0.00036057
27,1985.72,0.0482,0.98805,1,0.56231,0.000346433,0.000346433,0.000346433
28,2056.89,0.05147,0.99363,1,0.56099,0.000332296,0.000332296,0.000332296
29,2128.12,0.06039,0.99203,1,0.56171,0.000318158,0.000318158,0.000318158
30,2199.28,0.05106,0.98964,1,0.56358,0.000304021,0.000304021,0.000304021
31,2270.92,0.04445,0.99203,1,0.5599,0.000289884,0.000289884,0.000289884
32,2342.2,0.03693,0.99124,1,0.56189,0.000275747,0.000275747,0.000275747
33,2413.5,0.03742,0.99044,1,0.56154,0.00026161,0.00026161,0.00026161
34,2485.13,0.04632,0.98964,1,0.56324,0.000247472,0.000247472,0.000247472
35,2556.71,0.05075,0.99283,1,0.56004,0.000233335,0.000233335,0.000233335
36,2628.18,0.03706,0.99363,1,0.55956,0.000219198,0.000219198,0.000219198
37,2699.78,0.03295,0.99283,1,0.56025,0.000205061,0.000205061,0.000205061
38,2770.7,0.02908,0.99283,1,0.5597,0.000190924,0.000190924,0.000190924
39,2842.28,0.03462,0.99283,1,0.55977,0.000176786,0.000176786,0.000176786
40,2915.81,0.02951,0.99283,1,0.55946,0.000162649,0.000162649,0.000162649
41,3028.98,0.03636,0.99124,1,0.56146,0.000148512,0.000148512,0.000148512
42,3100.96,0.03486,0.99124,1,0.56044,0.000134375,0.000134375,0.000134375
43,3173.53,0.02831,0.99363,1,0.55935,0.000120238,0.000120238,0.000120238
44,3246.06,0.02289,0.99203,1,0.55958,0.0001061,0.0001061,0.0001061
45,3318.41,0.024,0.99283,1,0.55904,9.19632e-05,9.19632e-05,9.19632e-05
46,3390.47,0.01849,0.99203,1,0.56009,7.7826e-05,7.7826e-05,7.7826e-05
47,3462.83,0.02135,0.99363,1,0.55844,6.36888e-05,6.36888e-05,6.36888e-05
48,3534.01,0.01866,0.99124,1,0.55909,4.95516e-05,4.95516e-05,4.95516e-05
49,3606.35,0.02438,0.99283,1,0.55821,3.54144e-05,3.54144e-05,3.54144e-05
50,3678.63,0.02195,0.99283,1,0.55833,2.12772e-05,2.12772e-05,2.12772e-05
