epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.6134,0.05283,0.98485,1,0.03948,0.000535688,0.000535688,0.000535688
2,52.1167,0.05169,0.98182,1,0.06474,0.00105384,0.00105384,0.00105384
3,75.7062,0.05038,0.98182,1,0.05737,0.00155063,0.00155063,0.00155063
4,98.7446,0.05729,0.97576,1,0.0699,0.001568,0.001568,0.001568
5,122.687,0.04281,0.98788,1,0.0474,0.00153499,0.00153499,0.00153499
6,147.191,0.0569,0.98939,1,0.05367,0.00150199,0.00150199,0.00150199
7,170.886,0.04571,0.98636,1,0.05374,0.00146899,0.00146899,0.00146899
8,194.246,0.04318,0.98939,1,0.03661,0.00143599,0.00143599,0.00143599
9,217.332,0.05577,0.9803,1,0.06238,0.00140299,0.00140299,0.00140299
10,240.541,0.04311,0.98636,1,0.05577,0.00136999,0.00136999,0.00136999
11,263.792,0.0542,0.98788,1,0.0434,0.00133699,0.00133699,0.00133699
12,288.734,0.04081,0.98939,1,0.03354,0.00130399,0.00130399,0.00130399
13,313.94,0.04821,0.98788,1,0.04243,0.00127098,0.00127098,0.00127098
14,336.892,0.03222,0.98788,1,0.04874,0.00123798,0.00123798,0.00123798
15,360.089,0.03447,0.98788,1,0.03991,0.00120498,0.00120498,0.00120498
16,382.99,0.03659,0.98485,1,0.05724,0.00117198,0.00117198,0.00117198
17,406.25,0.03587,0.98333,1,0.05574,0.00113898,0.00113898,0.00113898
18,430.1,0.0258,0.98636,1,0.03611,0.00110598,0.00110598,0.00110598
19,453.613,0.03056,0.98485,1,0.05713,0.00107298,0.00107298,0.00107298
20,476.659,0.03136,0.98333,1,0.06159,0.00103998,0.00103998,0.00103998
21,499.781,0.02932,0.98636,1,0.04558,0.00100697,0.00100697,0.00100697
22,523.214,0.03181,0.98636,1,0.05494,0.000973973,0.000973973,0.000973973
23,546.772,0.02455,0.98636,1,0.0461,0.000940972,0.000940972,0.000940972
24,570.766,0.02202,0.98788,1,0.04717,0.000907971,0.000907971,0.000907971
25,594.328,0.02878,0.98636,1,0.05324,0.00087497,0.00087497,0.00087497
26,617.392,0.0207,0.98788,1,0.04679,0.000841968,0.000841968,0.000841968
27,640.413,0.02174,0.98485,1,0.06288,0.000808967,0.000808967,0.000808967
28,663.588,0.01508,0.98939,1,0.04628,0.000775966,0.000775966,0.000775966
29,686.98,0.01701,0.98485,1,0.06223,0.000742965,0.000742965,0.000742965
30,710.528,0.01795,0.98485,1,0.05528,0.000709963,0.000709963,0.000709963
31,734.308,0.01975,0.97879,1,0.06257,0.000676962,0.000676962,0.000676962
32,757.762,0.01646,0.98333,1,0.05073,0.000643961,0.000643961,0.000643961
33,780.93,0.01499,0.98788,1,0.0428,0.00061096,0.00061096,0.00061096
34,804.127,0.02009,0.98333,1,0.05077,0.000577958,0.000577958,0.000577958
35,827.403,0.01893,0.98939,1,0.0387,0.000544957,0.000544957,0.000544957
36,851.909,0.01983,0.98636,1,0.04385,0.000511956,0.000511956,0.000511956
37,875.824,0.02015,0.98788,1,0.04248,0.000478954,0.000478954,0.000478954
38,898.902,0.01113,0.99091,1,0.04233,0.000445953,0.000445953,0.000445953
39,921.888,0.01878,0.98939,1,0.04691,0.000412952,0.000412952,0.000412952
40,945.194,0.01232,0.98485,1,0.05065,0.000379951,0.000379951,0.000379951
41,1012.11,0.00997,0.98939,1,0.0412,0.000346949,0.000346949,0.000346949
42,1036.03,0.00832,0.98636,1,0.04972,0.000313948,0.000313948,0.000313948
43,1058.75,0.01508,0.98939,1,0.04215,0.000280947,0.000280947,0.000280947
44,1081.01,0.00952,0.98788,1,0.04673,0.000247946,0.000247946,0.000247946
45,1103.25,0.00936,0.98939,1,0.04777,0.000214944,0.000214944,0.000214944
46,1125.36,0.00796,0.99242,1,0.04717,0.000181943,0.000181943,0.000181943
47,1147.65,0.01531,0.99091,1,0.04294,0.000148942,0.000148942,0.000148942
48,1170.92,0.01178,0.99091,1,0.04267,0.000115941,0.000115941,0.000115941
49,1193.41,0.00747,0.99091,1,0.04418,8.29393e-05,8.29393e-05,8.29393e-05
50,1215.43,0.01011,0.99091,1,0.04376,4.9938e-05,4.9938e-05,4.9938e-05
