epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,933.05,0.83829,1.98712,1.01941,0.87896,0.8536,0.92232,0.7327,0.75943,0.68029,0.93893,0.00332978,0.00332978,0.00332978
2,1841.84,0.80906,1.08276,0.99995,0.85225,0.80906,0.88521,0.69848,0.78007,0.74142,0.96849,0.00653119,0.00653119,0.00653119
3,2733.93,0.86093,0.86439,1.02754,0.83371,0.78735,0.87105,0.6713,0.84382,0.78729,1.01591,0.00960059,0.00960059,0.00960059
4,3618.68,0.88176,0.79666,1.04518,0.86723,0.80869,0.89852,0.70175,0.81344,0.69886,0.99969,0.009406,0.009406,0.009406
5,4505.82,0.83601,0.70971,1.0219,0.88578,0.85615,0.93419,0.7398,0.77457,0.58064,0.96042,0.009208,0.009208,0.009208
6,5392.45,0.8034,0.66646,1.00963,0.90507,0.85359,0.94074,0.77132,0.70315,0.53834,0.94358,0.00901,0.00901,0.00901
7,6278.45,0.7788,0.62808,0.99809,0.90138,0.88406,0.94892,0.7899,0.66975,0.49862,0.92803,0.008812,0.008812,0.008812
8,7166.34,0.75914,0.60295,0.98621,0.89943,0.8836,0.95474,0.79498,0.66744,0.48001,0.92576,0.008614,0.008614,0.008614
9,8052.46,0.74466,0.58113,0.98093,0.88415,0.89032,0.94848,0.79711,0.66396,0.47201,0.9226,0.008416,0.008416,0.008416
10,8938.36,0.72727,0.56469,0.97428,0.9041,0.88893,0.95691,0.8035,0.64454,0.46612,0.91653,0.008218,0.008218,0.008218
11,9823.71,0.7236,0.55715,0.97259,0.90294,0.90073,0.96033,0.81228,0.62912,0.4409,0.90694,0.00802,0.00802,0.00802
12,10710.1,0.7072,0.53828,0.96544,0.90951,0.89842,0.96129,0.81822,0.62288,0.42728,0.90239,0.007822,0.007822,0.007822
13,11604.4,0.70372,0.53332,0.96429,0.91536,0.89937,0.9631,0.82345,0.6158,0.4209,0.90015,0.007624,0.007624,0.007624
14,12493.1,0.68946,0.51841,0.95604,0.91207,0.90422,0.96454,0.82895,0.59959,0.41083,0.8896,0.007426,0.007426,0.007426
15,13380.5,0.6861,0.50964,0.95321,0.91616,0.90155,0.9646,0.83157,0.5924,0.40346,0.88864,0.007228,0.007228,0.007228
16,14268.4,0.68139,0.50415,0.95238,0.92023,0.90859,0.96897,0.83507,0.59532,0.39709,0.88732,0.00703,0.00703,0.00703
17,15157.5,0.67478,0.49708,0.94937,0.91561,0.91325,0.96845,0.83266,0.5858,0.39237,0.88636,0.006832,0.006832,0.006832
18,16038.6,0.67011,0.48974,0.94535,0.91993,0.91499,0.96887,0.84268,0.57989,0.37724,0.88095,0.006634,0.006634,0.006634
19,16918.3,0.6625,0.48664,0.94331,0.92622,0.90734,0.97045,0.846,0.5726,0.37599,0.87769,0.006436,0.006436,0.006436
20,17798.1,0.65819,0.47752,0.94165,0.92285,0.91082,0.9703,0.84657,0.57206,0.37711,0.87891,0.006238,0.006238,0.006238
21,18677.9,0.65272,0.47181,0.94022,0.91887,0.91559,0.97027,0.84901,0.56441,0.36615,0.87431,0.00604,0.00604,0.00604
22,19569.8,0.6493,0.46763,0.93803,0.92482,0.91591,0.97177,0.85248,0.55943,0.35995,0.87098,0.005842,0.005842,0.005842
23,20452,0.642,0.46385,0.93329,0.9219,0.91893,0.97338,0.85503,0.55881,0.35924,0.87122,0.005644,0.005644,0.005644
24,21332.1,0.63513,0.45317,0.9307,0.9215,0.91908,0.97389,0.8588,0.55466,0.35032,0.87026,0.005446,0.005446,0.005446
25,22213.3,0.63084,0.45123,0.92823,0.93283,0.91371,0.9749,0.85679,0.54515,0.34732,0.86765,0.005248,0.005248,0.005248
26,23094.6,0.63103,0.44743,0.92866,0.93524,0.91326,0.97556,0.86218,0.54537,0.34516,0.8674,0.00505,0.00505,0.00505
27,24010.4,0.61813,0.43683,0.92351,0.93529,0.91788,0.9755,0.8618,0.54924,0.34387,0.87081,0.004852,0.004852,0.004852
28,24941.1,0.61878,0.4383,0.92702,0.92797,0.92356,0.975,0.86405,0.54225,0.33601,0.86601,0.004654,0.004654,0.004654
29,25875.6,0.61442,0.43096,0.92153,0.92334,0.92912,0.97602,0.86482,0.54087,0.33663,0.86409,0.004456,0.004456,0.004456
30,26812.9,0.61347,0.43272,0.92201,0.92745,0.92773,0.97682,0.86668,0.53544,0.33204,0.86165,0.004258,0.004258,0.004258
31,27747.9,0.60698,0.42279,0.91812,0.92869,0.92692,0.97679,0.87014,0.53112,0.32707,0.85994,0.00406,0.00406,0.00406
32,28691.3,0.59941,0.41631,0.91679,0.92887,0.92298,0.97627,0.8695,0.53137,0.32647,0.85978,0.003862,0.003862,0.003862
33,29579.5,0.59925,0.41108,0.91474,0.93363,0.92553,0.97721,0.87111,0.53016,0.3233,0.85977,0.003664,0.003664,0.003664
