epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,59.3891,0.04645,0.99202,1,0.03403,0.00054889,0.00054889,0.00054889
2,102.427,0.04145,0.98404,1,0.03471,0.00108269,0.00108269,0.00108269
3,144.787,0.05821,0.97606,1,0.05925,0.00159448,0.00159448,0.00159448
4,201.302,0.04976,0.99202,1,0.04683,0.00156798,0.00156798,0.00156798
5,271.996,0.03898,0.98936,1,0.05966,0.00153497,0.00153497,0.00153497
6,450.35,0.03595,0.99202,1,0.04996,0.00150197,0.00150197,0.00150197
7,473.641,0.05194,0.9867,1,0.04117,0.00146896,0.00146896,0.00146896
8,490.195,0.04829,0.98404,1,0.05981,0.00143595,0.00143595,0.00143595
9,504.519,0.04222,0.9867,1,0.0553,0.00140295,0.00140295,0.00140295
10,518.876,0.04328,0.99202,1,0.05821,0.00136994,0.00136994,0.00136994
11,534.245,0.03259,0.9867,1,0.08906,0.00133693,0.00133693,0.00133693
12,548.67,0.051,0.98936,1,0.03987,0.00130393,0.00130393,0.00130393
13,562.265,0.02897,0.9867,1,0.07869,0.00127092,0.00127092,0.00127092
14,576.242,0.02263,0.99202,1,0.03758,0.00123791,0.00123791,0.00123791
15,590.599,0.03523,0.98936,1,0.05678,0.00120491,0.00120491,0.00120491
16,606.342,0.03841,0.97872,1,0.07275,0.0011719,0.0011719,0.0011719
17,620.251,0.03532,0.9867,1,0.06685,0.00113889,0.00113889,0.00113889
18,633.897,0.02369,0.98936,1,0.04543,0.00110589,0.00110589,0.00110589
19,648.142,0.01897,0.99468,1,0.04911,0.00107288,0.00107288,0.00107288
20,683.865,0.0165,0.98936,1,0.04886,0.00103987,0.00103987,0.00103987
21,712.341,0.0253,0.98936,1,0.04771,0.00100687,0.00100687,0.00100687
22,738.857,0.01798,0.9867,1,0.05352,0.000973861,0.000973861,0.000973861
23,776.293,0.03066,0.9867,1,0.05331,0.000940855,0.000940855,0.000940855
24,822.669,0.02053,0.98936,1,0.0513,0.000907848,0.000907848,0.000907848
25,888.076,0.02455,0.99468,1,0.05031,0.000874842,0.000874842,0.000874842
26,971.327,0.02332,0.99202,1,0.04999,0.000841835,0.000841835,0.000841835
27,1077.52,0.0168,0.98936,1,0.04758,0.000808828,0.000808828,0.000808828
28,1242.34,0.01894,0.98936,1,0.05063,0.000775822,0.000775822,0.000775822
29,1790.22,0.01693,0.99468,1,0.04176,0.000742815,0.000742815,0.000742815
30,7242.05,0.00978,0.98936,1,0.0561,0.000709809,0.000709809,0.000709809
31,7279.02,0.01566,0.99202,1,0.04131,0.000676802,0.000676802,0.000676802
32,7293.53,0.00938,0.99468,1,0.05384,0.000643795,0.000643795,0.000643795
33,7307.16,0.01194,0.99468,1,0.05026,0.000610789,0.000610789,0.000610789
34,7320.84,0.01094,0.99202,1,0.0587,0.000577782,0.000577782,0.000577782
35,7334.31,0.00729,0.99202,1,0.06506,0.000544776,0.000544776,0.000544776
36,7347.94,0.02143,0.99202,1,0.05349,0.000511769,0.000511769,0.000511769
37,7361.35,0.01203,0.99202,1,0.05405,0.000478762,0.000478762,0.000478762
38,7374.94,0.01052,0.99202,1,0.04745,0.000445756,0.000445756,0.000445756
39,7388.62,0.00702,0.99202,1,0.05913,0.000412749,0.000412749,0.000412749
40,7406.51,0.01242,0.99202,1,0.04864,0.000379743,0.000379743,0.000379743
41,7485.57,0.02351,0.99468,1,0.04068,0.000346736,0.000346736,0.000346736
42,7499.05,0.01148,0.98936,1,0.04958,0.000313729,0.000313729,0.000313729
43,7512.45,0.01353,0.99468,1,0.03631,0.000280723,0.000280723,0.000280723
44,7525.86,0.00695,0.99734,1,0.02978,0.000247716,0.000247716,0.000247716
45,7539.15,0.01613,0.99202,1,0.03806,0.00021471,0.00021471,0.00021471
46,7552.4,0.0067,0.99468,1,0.04624,0.000181703,0.000181703,0.000181703
47,7565.79,0.00802,0.99202,1,0.04406,0.000148696,0.000148696,0.000148696
48,7579.16,0.01227,0.99202,1,0.04154,0.00011569,0.00011569,0.00011569
49,7592.77,0.0134,0.99202,1,0.03797,8.26832e-05,8.26832e-05,8.26832e-05
50,7606.31,0.01455,0.99202,1,0.04138,4.96766e-05,4.96766e-05,4.96766e-05
