epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.825,0.06239,0.97826,1,0.07573,0.000506236,0.000506236,0.000506236
2,36.8035,0.08257,0.97609,1,0.04941,0.000997438,0.000997438,0.000997438
3,53.3675,0.06239,0.9913,1,0.03129,0.00146839,0.00146839,0.00146839
4,69.5085,0.05531,0.98478,1,0.04636,0.00156798,0.00156798,0.00156798
5,85.373,0.0784,0.96087,1,0.10819,0.00153497,0.00153497,0.00153497
6,101.432,0.07782,0.97609,1,0.07163,0.00150197,0.00150197,0.00150197
7,118.223,0.03813,0.98043,1,0.04976,0.00146896,0.00146896,0.00146896
8,135.07,0.05123,0.98478,1,0.04064,0.00143595,0.00143595,0.00143595
9,151.135,0.04901,0.97826,1,0.07074,0.00140295,0.00140295,0.00140295
10,166.926,0.03742,0.96739,1,0.09711,0.00136994,0.00136994,0.00136994
11,182.482,0.03965,0.98478,1,0.04872,0.00133693,0.00133693,0.00133693
12,198.209,0.05109,0.97826,1,0.05312,0.00130393,0.00130393,0.00130393
13,213.939,0.03615,0.98913,1,0.04114,0.00127092,0.00127092,0.00127092
14,229.727,0.04573,0.98478,1,0.03995,0.00123791,0.00123791,0.00123791
15,245.855,0.04059,0.98261,1,0.05993,0.00120491,0.00120491,0.00120491
16,262.427,0.0431,0.98261,1,0.0502,0.0011719,0.0011719,0.0011719
17,279.086,0.02986,0.98913,1,0.02522,0.00113889,0.00113889,0.00113889
18,294.739,0.03774,0.97609,1,0.07224,0.00110589,0.00110589,0.00110589
19,311.382,0.02542,0.98478,1,0.04642,0.00107288,0.00107288,0.00107288
20,327.867,0.03039,0.98261,1,0.04562,0.00103987,0.00103987,0.00103987
21,344.514,0.0325,0.98478,1,0.03918,0.00100687,0.00100687,0.00100687
22,360.896,0.03408,0.97174,1,0.08476,0.000973861,0.000973861,0.000973861
23,377.307,0.02801,0.98478,1,0.03462,0.000940855,0.000940855,0.000940855
24,393.911,0.03254,0.98043,1,0.04908,0.000907848,0.000907848,0.000907848
25,410.39,0.01845,0.98913,1,0.04609,0.000874842,0.000874842,0.000874842
26,426.482,0.02543,0.98913,1,0.03671,0.000841835,0.000841835,0.000841835
27,442.602,0.02888,0.98478,1,0.04904,0.000808828,0.000808828,0.000808828
28,458.655,0.02516,0.98913,1,0.03014,0.000775822,0.000775822,0.000775822
29,474.753,0.01728,0.98696,1,0.04807,0.000742815,0.000742815,0.000742815
30,490.979,0.02598,0.98913,1,0.04807,0.000709809,0.000709809,0.000709809
31,506.964,0.03569,0.98696,1,0.04277,0.000676802,0.000676802,0.000676802
32,523.053,0.02575,0.98696,1,0.04188,0.000643795,0.000643795,0.000643795
33,539.188,0.01747,0.99565,1,0.03026,0.000610789,0.000610789,0.000610789
34,554.807,0.01994,0.9913,1,0.02626,0.000577782,0.000577782,0.000577782
35,570.376,0.01518,0.9913,1,0.0364,0.000544776,0.000544776,0.000544776
36,586.011,0.01906,0.9913,1,0.0272,0.000511769,0.000511769,0.000511769
37,601.687,0.01849,0.9913,1,0.04047,0.000478762,0.000478762,0.000478762
38,617.791,0.01413,0.99348,1,0.03666,0.000445756,0.000445756,0.000445756
39,633.929,0.0227,0.98913,1,0.03131,0.000412749,0.000412749,0.000412749
40,650.092,0.02132,0.9913,1,0.03041,0.000379743,0.000379743,0.000379743
41,709.107,0.01399,0.9913,1,0.0313,0.000346736,0.000346736,0.000346736
42,725.139,0.01744,0.99348,1,0.03215,0.000313729,0.000313729,0.000313729
43,741.723,0.01247,0.9913,1,0.03064,0.000280723,0.000280723,0.000280723
44,758.574,0.02815,0.98913,1,0.03173,0.000247716,0.000247716,0.000247716
45,775.298,0.01564,0.99348,1,0.0326,0.00021471,0.00021471,0.00021471
46,791.553,0.01703,0.99348,1,0.02997,0.000181703,0.000181703,0.000181703
47,808.329,0.01819,0.99348,1,0.02987,0.000148696,0.000148696,0.000148696
48,900.991,0.01128,0.99348,1,0.02998,0.00011569,0.00011569,0.00011569
49,917.59,0.0179,0.98913,1,0.03169,8.26832e-05,8.26832e-05,8.26832e-05
50,933.66,0.00985,0.9913,1,0.03133,4.96766e-05,4.96766e-05,4.96766e-05
