epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1353.26,0.508,0.28324,0.80103,0.97817,0.98587,0.9939,0.92942,0.44033,0.2433,0.76738,0.000334126,0.000334126,0.000334126
2,2383.45,0.50067,0.28035,0.79766,0.98314,0.985,0.9937,0.92544,0.44493,0.24897,0.76774,0.000656186,0.000656186,0.000656186
3,2820.92,0.49746,0.28609,0.79827,0.97632,0.99153,0.9939,0.92684,0.44863,0.25532,0.77009,0.0009604,0.0009604,0.0009604
4,3252.33,0.49873,0.29014,0.79793,0.98097,0.98465,0.99365,0.92652,0.44979,0.26023,0.77364,0.0009406,0.0009406,0.0009406
5,3711.64,0.49165,0.28388,0.79434,0.98361,0.98256,0.99378,0.92816,0.43946,0.25675,0.76934,0.0009208,0.0009208,0.0009208
6,4145.68,0.48491,0.27943,0.79384,0.97765,0.98414,0.99394,0.92425,0.45934,0.25477,0.77256,0.000901,0.000901,0.000901
7,4608.52,0.48109,0.27557,0.79487,0.98067,0.98721,0.99416,0.9308,0.43104,0.25169,0.76871,0.0008812,0.0008812,0.0008812
8,5080.47,0.47957,0.27498,0.79157,0.97519,0.98874,0.99356,0.93075,0.42597,0.2519,0.76649,0.0008614,0.0008614,0.0008614
9,5541.89,0.4745,0.27109,0.79418,0.97819,0.98362,0.99376,0.92653,0.44493,0.25218,0.77238,0.0008416,0.0008416,0.0008416
10,5960.86,0.46855,0.27108,0.78994,0.98207,0.98115,0.99389,0.93131,0.42665,0.2497,0.76642,0.0008218,0.0008218,0.0008218
11,6446.13,0.47262,0.26645,0.79081,0.97915,0.98517,0.99386,0.92847,0.44506,0.25348,0.77392,0.000802,0.000802,0.000802
12,6858.18,0.4681,0.26573,0.79007,0.97924,0.98414,0.99366,0.92888,0.44631,0.25796,0.76961,0.0007822,0.0007822,0.0007822
1,453.484,0.508,0.28324,0.80103,0.97817,0.98587,0.9939,0.92942,0.44033,0.2433,0.76738,0.000334126,0.000334126,0.000334126
2,868,0.50067,0.28035,0.79766,0.98314,0.985,0.9937,0.92544,0.44493,0.24897,0.76774,0.000656186,0.000656186,0.000656186
3,1359.07,0.49746,0.28609,0.79827,0.97632,0.99153,0.9939,0.92684,0.44863,0.25532,0.77009,0.0009604,0.0009604,0.0009604
4,1838.85,0.49873,0.29014,0.79793,0.98097,0.98465,0.99365,0.92652,0.44979,0.26023,0.77364,0.0009406,0.0009406,0.0009406
5,2360.3,0.49165,0.28388,0.79434,0.98361,0.98256,0.99378,0.92816,0.43946,0.25675,0.76934,0.0009208,0.0009208,0.0009208
