epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,28.3922,0.05344,0.97283,1,0.10233,0.000548807,0.000548807,0.000548807
2,42.7694,0.04441,0.98098,1,0.06507,0.00108261,0.00108261,0.00108261
3,56.3646,0.05557,0.98913,1,0.02868,0.00159441,0.00159441,0.00159441
4,69.8148,0.05795,0.95924,1,0.13024,0.00156799,0.00156799,0.00156799
5,83.0335,0.06152,0.98098,1,0.06082,0.00153499,0.00153499,0.00153499
6,96.3354,0.03693,0.98641,1,0.04117,0.00150199,0.00150199,0.00150199
7,109.68,0.02926,0.99185,1,0.0196,0.00146899,0.00146899,0.00146899
8,123.309,0.0482,0.98913,1,0.04164,0.00143599,0.00143599,0.00143599
9,138.397,0.04446,0.98098,1,0.05738,0.00140298,0.00140298,0.00140298
10,152.533,0.03829,0.97554,1,0.06059,0.00136998,0.00136998,0.00136998
11,166.358,0.06992,0.99185,1,0.03692,0.00133698,0.00133698,0.00133698
12,179.74,0.02693,0.98098,1,0.03998,0.00130398,0.00130398,0.00130398
13,193.184,0.03825,0.97826,1,0.04942,0.00127098,0.00127098,0.00127098
14,206.714,0.04033,0.98913,1,0.02983,0.00123797,0.00123797,0.00123797
15,220.031,0.01283,0.98641,1,0.01837,0.00120497,0.00120497,0.00120497
16,233.275,0.02934,0.98098,1,0.0346,0.00117197,0.00117197,0.00117197
17,246.508,0.01388,0.9837,1,0.0443,0.00113897,0.00113897,0.00113897
18,259.624,0.01848,0.9837,1,0.04602,0.00110597,0.00110597,0.00110597
19,272.786,0.05967,0.98098,1,0.03996,0.00107297,0.00107297,0.00107297
20,287.006,0.01969,0.98913,1,0.02398,0.00103996,0.00103996,0.00103996
21,300.754,0.03018,0.98641,1,0.03372,0.00100696,0.00100696,0.00100696
22,314.052,0.01529,0.98098,1,0.04077,0.000973959,0.000973959,0.000973959
23,327.396,0.01378,0.9837,1,0.03824,0.000940957,0.000940957,0.000940957
24,340.614,0.01944,0.98913,1,0.0332,0.000907956,0.000907956,0.000907956
25,354.082,0.0139,0.98913,1,0.02594,0.000874954,0.000874954,0.000874954
26,367.388,0.01512,0.9837,1,0.02491,0.000841952,0.000841952,0.000841952
27,380.684,0.01463,0.98913,1,0.03573,0.00080895,0.00080895,0.00080895
28,393.898,0.02199,0.97554,1,0.04526,0.000775948,0.000775948,0.000775948
29,407.165,0.02044,0.97283,1,0.06116,0.000742946,0.000742946,0.000742946
30,420.974,0.0127,0.9837,1,0.04149,0.000709944,0.000709944,0.000709944
31,434.566,0.01665,0.98913,1,0.03532,0.000676942,0.000676942,0.000676942
32,447.906,0.02366,0.9837,1,0.03282,0.00064394,0.00064394,0.00064394
33,461.129,0.00406,0.9837,1,0.03101,0.000610938,0.000610938,0.000610938
34,474.375,0.02334,0.9837,1,0.03904,0.000577936,0.000577936,0.000577936
35,487.665,0.01366,0.9837,1,0.05358,0.000544934,0.000544934,0.000544934
36,500.999,0.01446,0.9837,1,0.04655,0.000511932,0.000511932,0.000511932
37,514.245,0.01159,0.98641,1,0.02798,0.00047893,0.00047893,0.00047893
38,527.622,0.01378,0.98641,1,0.02799,0.000445929,0.000445929,0.000445929
39,540.698,0.009,0.98913,1,0.03363,0.000412927,0.000412927,0.000412927
40,554.289,0.00889,0.98641,1,0.03621,0.000379925,0.000379925,0.000379925
41,619.583,0.01577,0.98641,1,0.03644,0.000346923,0.000346923,0.000346923
42,632.872,0.00826,0.98641,1,0.03709,0.000313921,0.000313921,0.000313921
43,646.108,0.00833,0.98913,1,0.03325,0.000280919,0.000280919,0.000280919
44,659.306,0.00886,0.98098,1,0.04965,0.000247917,0.000247917,0.000247917
45,672.458,0.00975,0.9837,1,0.03875,0.000214915,0.000214915,0.000214915
46,685.524,0.00777,0.97826,1,0.04179,0.000181913,0.000181913,0.000181913
47,698.522,0.00823,0.98098,1,0.03276,0.000148911,0.000148911,0.000148911
48,711.503,0.01118,0.98098,1,0.03526,0.000115909,0.000115909,0.000115909
49,724.439,0.00604,0.98913,1,0.02902,8.29072e-05,8.29072e-05,8.29072e-05
50,737.931,0.01232,0.98641,1,0.0367,4.99053e-05,4.99053e-05,4.99053e-05
