epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.179,0.76772,0.44163,0.97278,0.93202,0.94758,0.97844,0.86426,0.68015,0.38162,0.94467,0.000239286,0.000239286,0.000239286
2,611.761,0.70775,0.40839,0.93234,0.95071,0.9582,0.98352,0.87075,0.66753,0.36316,0.92731,0.000472614,0.000472614,0.000472614
3,929.356,0.66439,0.38698,0.91181,0.94058,0.95737,0.9839,0.87264,0.65388,0.35709,0.9168,0.000696343,0.000696343,0.000696343
4,1222.69,0.67433,0.38226,0.91121,0.96377,0.94816,0.98596,0.87522,0.66746,0.36398,0.92439,0.000910472,0.000910472,0.000910472
5,1528.5,0.70188,0.39419,0.92284,0.93647,0.95517,0.97959,0.86606,0.67077,0.37433,0.9222,0.000920946,0.000920946,0.000920946
6,1825.47,0.64592,0.37189,0.90087,0.93729,0.97624,0.98406,0.87597,0.64976,0.36495,0.91516,0.000901182,0.000901182,0.000901182
7,2132.09,0.65965,0.37235,0.90172,0.95261,0.94816,0.98238,0.87239,0.65097,0.36964,0.92043,0.000881418,0.000881418,0.000881418
8,2429.37,0.65805,0.37131,0.90756,0.947,0.95032,0.985,0.8785,0.65098,0.3667,0.91375,0.000861655,0.000861655,0.000861655
9,2737.92,0.65812,0.37256,0.90491,0.9481,0.96976,0.98671,0.88297,0.6479,0.35174,0.91701,0.000841891,0.000841891,0.000841891
10,3041.34,0.63153,0.35441,0.90225,0.92522,0.98056,0.98607,0.87393,0.65684,0.36901,0.91599,0.000822128,0.000822128,0.000822128
11,3349.84,0.65305,0.36805,0.90853,0.93708,0.96497,0.98097,0.8736,0.66532,0.37224,0.92661,0.000802364,0.000802364,0.000802364
12,3648.89,0.63235,0.36472,0.89423,0.94394,0.97192,0.9871,0.8829,0.63136,0.3423,0.9068,0.0007826,0.0007826,0.0007826
13,3953.86,0.62353,0.35117,0.89214,0.96639,0.95032,0.9857,0.88699,0.63312,0.35296,0.90989,0.000762837,0.000762837,0.000762837
