epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.4379,0.06341,0.97783,1,0.07369,0.000549423,0.000549423,0.000549423
2,32.6612,0.05728,0.97783,1,0.04515,0.00108322,0.00108322,0.00108322
3,47.7173,0.04329,0.97783,1,0.04947,0.00159503,0.00159503,0.00159503
4,62.2643,0.04429,0.99015,1,0.04586,0.00156803,0.00156803,0.00156803
5,76.5974,0.05038,0.9803,1,0.06348,0.00153504,0.00153504,0.00153504
6,91.1204,0.04869,0.97044,1,0.07489,0.00150205,0.00150205,0.00150205
7,105.724,0.03888,0.97783,1,0.07567,0.00146906,0.00146906,0.00146906
8,120.955,0.04666,0.9803,1,0.06919,0.00143608,0.00143608,0.00143608
9,136.608,0.03408,0.98768,1,0.04047,0.00140309,0.00140309,0.00140309
10,151.47,0.02417,0.95074,1,0.15918,0.0013701,0.0013701,0.0013701
11,166.425,0.03378,0.9803,1,0.04835,0.00133711,0.00133711,0.00133711
12,181.099,0.03586,0.99015,1,0.02513,0.00130412,0.00130412,0.00130412
13,195.995,0.02566,0.98276,1,0.03181,0.00127113,0.00127113,0.00127113
14,210.933,0.02399,0.98276,1,0.04212,0.00123814,0.00123814,0.00123814
15,225.583,0.02225,0.98276,1,0.04433,0.00120515,0.00120515,0.00120515
16,240.239,0.03539,0.97291,1,0.06962,0.00117216,0.00117216,0.00117216
17,255,0.02495,0.97783,1,0.05321,0.00113917,0.00113917,0.00113917
18,270.033,0.03104,0.9803,1,0.05006,0.00110618,0.00110618,0.00110618
19,285.271,0.01986,0.98522,1,0.05574,0.00107319,0.00107319,0.00107319
20,300.566,0.02139,0.98522,1,0.04948,0.0010402,0.0010402,0.0010402
21,315.684,0.03401,0.9803,1,0.07069,0.00100721,0.00100721,0.00100721
22,330.677,0.03194,0.98522,1,0.06172,0.000974225,0.000974225,0.000974225
23,345.125,0.02438,0.98522,1,0.05419,0.000941236,0.000941236,0.000941236
24,359.528,0.01959,0.9803,1,0.05412,0.000908247,0.000908247,0.000908247
25,373.995,0.01334,0.98276,1,0.06409,0.000875258,0.000875258,0.000875258
26,388.472,0.02386,0.98768,1,0.03816,0.000842268,0.000842268,0.000842268
27,403.177,0.02361,0.98768,1,0.04303,0.000809279,0.000809279,0.000809279
28,418.123,0.01737,0.98768,1,0.05384,0.00077629,0.00077629,0.00077629
29,432.576,0.01535,0.98522,1,0.04688,0.000743301,0.000743301,0.000743301
30,447.061,0.01667,0.98276,1,0.05772,0.000710311,0.000710311,0.000710311
31,461.657,0.01,0.98276,1,0.05028,0.000677322,0.000677322,0.000677322
32,476.264,0.01241,0.98276,1,0.03571,0.000644333,0.000644333,0.000644333
33,490.677,0.01221,0.98522,1,0.05698,0.000611344,0.000611344,0.000611344
34,505.552,0.01405,0.98276,1,0.08262,0.000578354,0.000578354,0.000578354
35,520.167,0.00878,0.98768,1,0.04215,0.000545365,0.000545365,0.000545365
36,535.032,0.01145,0.98768,1,0.03996,0.000512376,0.000512376,0.000512376
37,550.105,0.02483,0.99015,1,0.03246,0.000479387,0.000479387,0.000479387
38,564.743,0.01171,0.99015,1,0.02948,0.000446397,0.000446397,0.000446397
39,579.643,0.01562,0.98768,1,0.0295,0.000413408,0.000413408,0.000413408
40,594.354,0.01842,0.99015,1,0.02791,0.000380419,0.000380419,0.000380419
41,663.511,0.00974,0.99015,1,0.03938,0.000347429,0.000347429,0.000347429
42,678.225,0.00802,0.99015,1,0.04357,0.00031444,0.00031444,0.00031444
43,692.738,0.01187,0.99015,1,0.04626,0.000281451,0.000281451,0.000281451
44,707.393,0.00697,0.99015,1,0.04285,0.000248462,0.000248462,0.000248462
45,722.385,0.00408,0.99015,1,0.04146,0.000215472,0.000215472,0.000215472
46,737.431,0.01083,0.99015,1,0.04346,0.000182483,0.000182483,0.000182483
47,752.055,0.00967,0.99015,1,0.03477,0.000149494,0.000149494,0.000149494
48,766.884,0.00676,0.98768,1,0.03787,0.000116505,0.000116505,0.000116505
49,781.507,0.00992,0.99015,1,0.03637,8.35154e-05,8.35154e-05,8.35154e-05
50,796.055,0.00779,0.99015,1,0.03718,5.05261e-05,5.05261e-05,5.05261e-05
