epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,616.404,0.4941,0.28384,0.82188,0.98084,0.98855,0.99364,0.93161,0.41953,0.25069,0.79682,0.000331024,0.000331024,0.000331024
2,1290.85,0.49886,0.28999,0.8218,0.98152,0.98335,0.99365,0.92879,0.42463,0.26316,0.7983,0.000649693,0.000649693,0.000649693
3,1987.73,0.50043,0.29626,0.82524,0.98131,0.98768,0.99391,0.92862,0.42074,0.26571,0.79518,0.000955223,0.000955223,0.000955223
4,2697.12,0.49661,0.29703,0.82193,0.97662,0.98568,0.99331,0.91967,0.44401,0.2771,0.80115,0.000940598,0.000940598,0.000940598
5,3508,0.49335,0.29664,0.81998,0.97773,0.98801,0.99376,0.92646,0.43065,0.26859,0.79613,0.000920798,0.000920798,0.000920798
6,4199.66,0.49126,0.29477,0.82098,0.97881,0.98446,0.99378,0.92656,0.43538,0.27206,0.79927,0.000900997,0.000900997,0.000900997
7,5012.58,0.48659,0.29008,0.81787,0.97893,0.99039,0.99366,0.93114,0.41036,0.25675,0.79282,0.000881196,0.000881196,0.000881196
8,5768.07,0.48071,0.28724,0.81605,0.98085,0.99001,0.99397,0.92919,0.41469,0.25947,0.79445,0.000861396,0.000861396,0.000861396
9,6546.53,0.47789,0.28397,0.81833,0.98008,0.98934,0.99395,0.93281,0.41538,0.25712,0.79257,0.000841595,0.000841595,0.000841595
10,7289.76,0.47735,0.28239,0.81542,0.98251,0.99127,0.99401,0.93217,0.41792,0.25308,0.79419,0.000821795,0.000821795,0.000821795
11,8077.23,0.47217,0.2808,0.81462,0.98321,0.98535,0.99382,0.9318,0.42474,0.25461,0.79766,0.000801994,0.000801994,0.000801994
12,8828.99,0.46958,0.27784,0.81564,0.98258,0.99068,0.99372,0.93288,0.41865,0.25669,0.79813,0.000782193,0.000782193,0.000782193
13,9565.27,0.46901,0.27652,0.81542,0.98115,0.98792,0.99399,0.93144,0.42046,0.25656,0.79708,0.000762393,0.000762393,0.000762393
14,10299.4,0.46701,0.2762,0.81507,0.97951,0.98711,0.9938,0.93249,0.41225,0.2525,0.79502,0.000742592,0.000742592,0.000742592
15,11078.4,0.46623,0.27482,0.81479,0.98311,0.98861,0.99379,0.93365,0.41784,0.25026,0.79511,0.000722792,0.000722792,0.000722792
16,11892.7,0.46045,0.27081,0.81341,0.98464,0.98668,0.99377,0.93556,0.40635,0.2482,0.79229,0.000702991,0.000702991,0.000702991
17,12628,0.45848,0.26811,0.81036,0.9867,0.98768,0.994,0.93775,0.40723,0.24415,0.79089,0.00068319,0.00068319,0.00068319
18,13369.3,0.45067,0.26534,0.81226,0.98599,0.98668,0.99402,0.93446,0.41155,0.2446,0.79526,0.00066339,0.00066339,0.00066339
19,14119.4,0.44845,0.26156,0.81128,0.98119,0.99033,0.99391,0.93751,0.4168,0.24566,0.79785,0.000643589,0.000643589,0.000643589
20,14929.7,0.44972,0.26191,0.81308,0.98686,0.98735,0.99412,0.93881,0.40132,0.23815,0.79127,0.000623789,0.000623789,0.000623789
21,15714.8,0.45179,0.26292,0.81302,0.98507,0.98864,0.99416,0.93687,0.41421,0.24084,0.79215,0.000603988,0.000603988,0.000603988
22,16455.2,0.44366,0.25768,0.80935,0.98146,0.98711,0.99377,0.93927,0.40509,0.24372,0.7943,0.000584187,0.000584187,0.000584187
23,17219.7,0.44136,0.2565,0.80793,0.98256,0.98968,0.99408,0.94112,0.40341,0.23919,0.79408,0.000564387,0.000564387,0.000564387
24,18093.7,0.43711,0.25555,0.80685,0.98674,0.98535,0.99397,0.93656,0.40674,0.23926,0.79239,0.000544586,0.000544586,0.000544586
25,18872.6,0.44304,0.25476,0.80946,0.98637,0.98901,0.994,0.93894,0.39871,0.23387,0.79143,0.000524786,0.000524786,0.000524786
26,19731.9,0.4392,0.25265,0.80779,0.98441,0.98821,0.99387,0.93641,0.40327,0.23572,0.79048,0.000504985,0.000504985,0.000504985
27,20511.2,0.43514,0.25025,0.80684,0.98441,0.98829,0.99398,0.94193,0.39458,0.23037,0.78938,0.000485184,0.000485184,0.000485184
28,21318.1,0.43371,0.25028,0.80832,0.98476,0.99001,0.99405,0.93966,0.39743,0.23026,0.79143,0.000465384,0.000465384,0.000465384
29,22104.9,0.4294,0.24713,0.80681,0.98341,0.98735,0.99396,0.94279,0.39319,0.23045,0.79172,0.000445583,0.000445583,0.000445583
30,22913.5,0.43029,0.24603,0.80524,0.98572,0.98824,0.99399,0.9434,0.39506,0.22873,0.79131,0.000425783,0.000425783,0.000425783
31,23689.6,0.42498,0.24507,0.80546,0.98569,0.98635,0.99392,0.94297,0.39445,0.23083,0.7913,0.000405982,0.000405982,0.000405982
32,24489.9,0.42421,0.24367,0.80366,0.98319,0.99034,0.99395,0.94254,0.39036,0.22808,0.79035,0.000386181,0.000386181,0.000386181
33,25260,0.42385,0.24331,0.80173,0.98675,0.98668,0.99396,0.94416,0.39207,0.22713,0.78884,0.000366381,0.000366381,0.000366381
34,26094.5,0.42212,0.24236,0.80507,0.98285,0.98934,0.99403,0.94507,0.39039,0.22706,0.79018,0.00034658,0.00034658,0.00034658
35,26933.1,0.41651,0.23941,0.80322,0.98377,0.98929,0.99394,0.94361,0.38975,0.22373,0.78953,0.00032678,0.00032678,0.00032678
36,27826.2,0.41305,0.23637,0.80242,0.98508,0.98951,0.99391,0.94336,0.39472,0.22308,0.79004,0.000306979,0.000306979,0.000306979
37,28613.9,0.41076,0.23337,0.80252,0.98754,0.98601,0.994,0.94463,0.39193,0.22206,0.78975,0.000287178,0.000287178,0.000287178
38,29658.8,0.41125,0.2331,0.80234,0.98458,0.99034,0.99405,0.94482,0.39004,0.21992,0.78912,0.000267378,0.000267378,0.000267378
39,30431.3,0.40677,0.232,0.80173,0.98603,0.98968,0.99405,0.94204,0.39657,0.22156,0.79032,0.000247577,0.000247577,0.000247577
