epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,435.772,0.37923,0.21072,0.8159,0.99074,0.99038,0.99482,0.97084,0.29318,0.17657,0.78385,0.000367247,0.000367247,0.000367247
2,846.624,0.37087,0.21836,0.81575,0.98678,0.99266,0.99486,0.96773,0.31441,0.19229,0.78878,0.000722976,0.000722976,0.000722976
3,1255.27,0.37383,0.21763,0.81925,0.99384,0.99016,0.99482,0.96296,0.31314,0.19429,0.78845,0.00106404,0.00106404,0.00106404
4,1662.21,0.37,0.22039,0.81483,0.99554,0.98608,0.99489,0.96411,0.31901,0.19247,0.79002,0.00104501,0.00104501,0.00104501
5,2069.01,0.36734,0.2249,0.81078,0.99354,0.9857,0.99475,0.96609,0.32016,0.19765,0.79483,0.00102301,0.00102301,0.00102301
6,2476.04,0.37075,0.2255,0.81292,0.99229,0.98847,0.99477,0.96785,0.32751,0.19773,0.79231,0.00100101,0.00100101,0.00100101
7,2884.09,0.3647,0.22169,0.81433,0.99081,0.99767,0.99498,0.9686,0.29642,0.18842,0.78221,0.000979013,0.000979013,0.000979013
8,3290.6,0.35354,0.21725,0.80658,0.99109,0.99079,0.9948,0.95667,0.34943,0.20504,0.7943,0.000957015,0.000957015,0.000957015
9,3697.25,0.35534,0.21587,0.80814,0.9926,0.99079,0.99498,0.96982,0.30914,0.19263,0.78599,0.000935018,0.000935018,0.000935018
10,4104.15,0.35386,0.21462,0.81287,0.99383,0.98558,0.99481,0.94793,0.35487,0.20575,0.79259,0.00091302,0.00091302,0.00091302
11,4514.82,0.35615,0.21753,0.81102,0.99634,0.99302,0.99498,0.97023,0.30284,0.18711,0.78,0.000891022,0.000891022,0.000891022
12,4922.07,0.35429,0.21608,0.80835,0.99211,0.99544,0.99493,0.96733,0.3003,0.18576,0.78765,0.000869024,0.000869024,0.000869024
13,5328.9,0.35784,0.21589,0.80836,0.9876,0.99519,0.99484,0.96513,0.31304,0.18948,0.78835,0.000847026,0.000847026,0.000847026
14,5735.84,0.35531,0.21546,0.81333,0.992,0.98806,0.99484,0.96689,0.31098,0.1918,0.78596,0.000825029,0.000825029,0.000825029
