epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,863.613,0.48405,0.30876,0.8661,0.98997,0.99091,0.99461,0.93405,0.44232,0.27842,0.83434,0.000401176,0.000401176,0.000401176
2,1751.37,0.49195,0.32162,0.86623,0.98417,0.99051,0.99446,0.92836,0.45823,0.29596,0.83648,0.000787178,0.000787178,0.000787178
3,2753.65,0.49462,0.33176,0.86854,0.98557,0.98698,0.99436,0.93421,0.44813,0.30536,0.83642,0.000960383,0.000960383,0.000960383
4,3653.62,0.49608,0.33207,0.86741,0.98862,0.99003,0.9946,0.93164,0.44689,0.29763,0.83592,0.000940574,0.000940574,0.000940574
5,4678.34,0.49242,0.33237,0.86402,0.99068,0.98671,0.99458,0.9352,0.44346,0.29186,0.83662,0.000920766,0.000920766,0.000920766
6,5555.93,0.48659,0.32734,0.86463,0.98768,0.98915,0.99463,0.93677,0.43953,0.29205,0.83474,0.000900957,0.000900957,0.000900957
7,6602.65,0.48423,0.32404,0.86476,0.98909,0.99159,0.99458,0.93224,0.45525,0.29869,0.8395,0.000881148,0.000881148,0.000881148
8,7524.9,0.4836,0.32244,0.86277,0.98911,0.98521,0.9945,0.93092,0.458,0.29852,0.84201,0.00086134,0.00086134,0.00086134
9,8541.99,0.48241,0.32081,0.8684,0.98739,0.99186,0.99461,0.93615,0.43275,0.28493,0.83479,0.000841531,0.000841531,0.000841531
10,9410.19,0.48193,0.32029,0.86568,0.98742,0.98942,0.99441,0.93521,0.43522,0.28703,0.8354,0.000821723,0.000821723,0.000821723
11,10479.3,0.47301,0.31641,0.86387,0.99006,0.99159,0.99457,0.93743,0.43109,0.28428,0.83498,0.000801914,0.000801914,0.000801914
12,11388,0.472,0.31319,0.86447,0.98939,0.98675,0.99448,0.93536,0.4286,0.28193,0.83345,0.000782105,0.000782105,0.000782105
13,12471.8,0.47139,0.31104,0.86269,0.98942,0.98899,0.99454,0.94002,0.43017,0.28019,0.83308,0.000762297,0.000762297,0.000762297
14,13335.8,0.46628,0.30681,0.86122,0.98257,0.99373,0.99431,0.93738,0.43532,0.28228,0.8347,0.000742488,0.000742488,0.000742488
15,14249.5,0.46456,0.30644,0.86007,0.9847,0.99241,0.99455,0.93757,0.43568,0.28021,0.83402,0.00072268,0.00072268,0.00072268
16,15049.5,0.4595,0.30371,0.85859,0.98888,0.9886,0.99444,0.93648,0.43571,0.28002,0.8336,0.000702871,0.000702871,0.000702871
17,16062.3,0.45747,0.29989,0.85864,0.9913,0.98996,0.9945,0.9416,0.42392,0.2752,0.83199,0.000683062,0.000683062,0.000683062
18,16927.4,0.45614,0.30178,0.85892,0.99127,0.98592,0.99451,0.93667,0.43334,0.27681,0.83392,0.000663254,0.000663254,0.000663254
19,17951.3,0.45666,0.3004,0.8587,0.99236,0.987,0.99457,0.94212,0.43144,0.27607,0.83274,0.000643445,0.000643445,0.000643445
