epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.202,0.52355,0.35621,0.93732,0.97881,0.94737,0.98626,0.89295,0.42184,0.27086,0.84822,0.000276265,0.000276265,0.000276265
2,242.48,0.47326,0.29442,0.89873,0.97348,0.95368,0.98656,0.90035,0.40533,0.27186,0.83146,0.000545383,0.000545383,0.000545383
3,401.252,0.47039,0.2951,0.88232,0.97602,0.94255,0.98251,0.88591,0.441,0.28485,0.8451,0.000803386,0.000803386,0.000803386
4,533.177,0.47394,0.29153,0.88613,0.9803,0.94286,0.98508,0.89606,0.42897,0.28288,0.84141,0.00094049,0.00094049,0.00094049
5,644.513,0.44746,0.27776,0.87572,0.96995,0.95134,0.98746,0.9023,0.40839,0.27534,0.82943,0.000920654,0.000920654,0.000920654
6,764.148,0.45271,0.27933,0.87789,0.98671,0.93779,0.99035,0.90165,0.41658,0.2663,0.8349,0.000900817,0.000900817,0.000900817
7,883.963,0.44003,0.27118,0.87021,0.98103,0.93895,0.98452,0.89479,0.42602,0.27445,0.84914,0.00088098,0.00088098,0.00088098
8,1015.84,0.44607,0.27911,0.87628,0.97107,0.94316,0.98458,0.89012,0.4317,0.27745,0.85278,0.000861144,0.000861144,0.000861144
9,1135.7,0.43126,0.27218,0.86789,0.97722,0.94105,0.98545,0.88236,0.45645,0.28465,0.84813,0.000841307,0.000841307,0.000841307
10,1265.39,0.42253,0.26244,0.8681,0.97952,0.94526,0.98754,0.89647,0.42504,0.27041,0.84311,0.000821471,0.000821471,0.000821471
11,1384.28,0.43448,0.26711,0.8674,0.97416,0.9526,0.98503,0.89338,0.42961,0.2791,0.8505,0.000801634,0.000801634,0.000801634
12,1513.5,0.43386,0.26713,0.87151,0.97002,0.95355,0.98478,0.89393,0.41278,0.27331,0.8372,0.000781797,0.000781797,0.000781797
13,1623.67,0.42043,0.268,0.86418,0.97546,0.95368,0.98505,0.88789,0.41652,0.26772,0.83988,0.000761961,0.000761961,0.000761961
14,1752.87,0.42122,0.26378,0.87408,0.98052,0.95376,0.98498,0.89397,0.41633,0.26619,0.84012,0.000742124,0.000742124,0.000742124
15,1862.79,0.41424,0.25404,0.86463,0.97296,0.95368,0.98259,0.88161,0.43053,0.26222,0.8523,0.000722288,0.000722288,0.000722288
16,1991.24,0.40536,0.25098,0.86208,0.97134,0.96,0.98004,0.88381,0.42113,0.26211,0.84692,0.000702451,0.000702451,0.000702451
17,2110.47,0.41429,0.25944,0.86474,0.97852,0.95909,0.98215,0.88232,0.43237,0.25881,0.85041,0.000682614,0.000682614,0.000682614
18,2240.06,0.39912,0.2443,0.85872,0.97491,0.95368,0.9854,0.90144,0.41416,0.25009,0.8441,0.000662778,0.000662778,0.000662778
19,2359.11,0.40702,0.24901,0.86283,0.97581,0.95579,0.98723,0.89993,0.41116,0.26086,0.83229,0.000642941,0.000642941,0.000642941
20,2490.62,0.40393,0.24491,0.85576,0.98088,0.94316,0.98571,0.9004,0.42681,0.27286,0.83726,0.000623105,0.000623105,0.000623105
21,2611.05,0.38908,0.23927,0.86068,0.97617,0.94863,0.98708,0.90017,0.41086,0.26139,0.83929,0.000603268,0.000603268,0.000603268
22,2731.45,0.38791,0.24505,0.85427,0.97828,0.94809,0.98485,0.90373,0.40652,0.26238,0.83869,0.000583431,0.000583431,0.000583431
23,2842.01,0.39471,0.24336,0.84878,0.97432,0.95836,0.98525,0.89567,0.41167,0.25848,0.84088,0.000563595,0.000563595,0.000563595
24,2962.58,0.38748,0.23883,0.85573,0.97406,0.94869,0.98659,0.89979,0.42319,0.26391,0.83407,0.000543758,0.000543758,0.000543758
25,3072.95,0.38386,0.23716,0.85259,0.96284,0.95368,0.98413,0.89632,0.41762,0.26793,0.83633,0.000523922,0.000523922,0.000523922
