epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,143.303,0.21023,0.97714,1,0.06793,0.00055495,0.00055495,0.00055495
2,274.67,0.15083,0.95796,1,0.10341,0.00108863,0.00108863,0.00108863
3,401.781,0.13965,0.95062,1,0.15991,0.0016003,0.0016003,0.0016003
4,527.919,0.12948,0.97319,1,0.07483,0.00156798,0.00156798,0.00156798
5,654.078,0.10755,0.98222,1,0.0509,0.00153497,0.00153497,0.00153497
6,778.879,0.09203,0.97884,1,0.05184,0.00150197,0.00150197,0.00150197
7,905.155,0.08922,0.98589,1,0.04256,0.00146896,0.00146896,0.00146896
8,1036.64,0.07779,0.98053,1,0.05351,0.00143595,0.00143595,0.00143595
9,1169.11,0.07045,0.98533,1,0.04088,0.00140295,0.00140295,0.00140295
10,1299.46,0.07014,0.98307,1,0.04323,0.00136994,0.00136994,0.00136994
11,1424.88,0.06382,0.98533,1,0.04253,0.00133693,0.00133693,0.00133693
12,1548.56,0.06393,0.98476,1,0.04173,0.00130393,0.00130393,0.00130393
13,1674.44,0.05985,0.9842,1,0.04414,0.00127092,0.00127092,0.00127092
14,1797.21,0.06408,0.98956,1,0.03648,0.00123791,0.00123791,0.00123791
15,1922.13,0.05276,0.98815,1,0.02888,0.00120491,0.00120491,0.00120491
16,2044.88,0.05601,0.98815,1,0.03418,0.0011719,0.0011719,0.0011719
17,2167.88,0.05679,0.98815,1,0.03119,0.00113889,0.00113889,0.00113889
18,2290.91,0.04855,0.98589,1,0.03977,0.00110589,0.00110589,0.00110589
19,2414.12,0.05641,0.98758,1,0.03531,0.00107288,0.00107288,0.00107288
20,2536.47,0.04688,0.98928,1,0.02815,0.00103987,0.00103987,0.00103987
21,2660.23,0.04916,0.99266,1,0.02377,0.00100687,0.00100687,0.00100687
22,2783.11,0.04348,0.98984,1,0.02904,0.000973861,0.000973861,0.000973861
23,2906.86,0.04178,0.98984,1,0.02867,0.000940855,0.000940855,0.000940855
24,3028.76,0.0465,0.99238,1,0.02038,0.000907848,0.000907848,0.000907848
25,3151.38,0.04323,0.98984,1,0.02584,0.000874842,0.000874842,0.000874842
26,3274.01,0.03808,0.99182,1,0.02326,0.000841835,0.000841835,0.000841835
27,3397.07,0.04226,0.99266,1,0.02178,0.000808828,0.000808828,0.000808828
28,3519.84,0.03646,0.9921,1,0.01954,0.000775822,0.000775822,0.000775822
29,3643.61,0.03816,0.99266,1,0.02105,0.000742815,0.000742815,0.000742815
30,3765.64,0.03474,0.99295,1,0.02078,0.000709809,0.000709809,0.000709809
31,3888.45,0.03101,0.99407,1,0.02042,0.000676802,0.000676802,0.000676802
32,4010.36,0.03288,0.99323,1,0.02156,0.000643795,0.000643795,0.000643795
33,4133.16,0.0324,0.99323,1,0.02015,0.000610789,0.000610789,0.000610789
34,4256.76,0.02608,0.99351,1,0.01942,0.000577782,0.000577782,0.000577782
35,4381.95,0.02726,0.99238,1,0.0178,0.000544776,0.000544776,0.000544776
36,4504.95,0.03225,0.9952,1,0.01642,0.000511769,0.000511769,0.000511769
37,4628.16,0.02278,0.99577,1,0.01574,0.000478762,0.000478762,0.000478762
38,4757.59,0.02451,0.99436,1,0.01824,0.000445756,0.000445756,0.000445756
39,4881.4,0.02625,0.99549,1,0.01563,0.000412749,0.000412749,0.000412749
40,5004.33,0.02046,0.99436,1,0.01919,0.000379743,0.000379743,0.000379743
41,5195.46,0.02323,0.99436,1,0.01767,0.000346736,0.000346736,0.000346736
42,5319.98,0.0237,0.99549,1,0.01593,0.000313729,0.000313729,0.000313729
43,5444.05,0.01892,0.9952,1,0.01631,0.000280723,0.000280723,0.000280723
44,5568.98,0.01907,0.99464,1,0.01723,0.000247716,0.000247716,0.000247716
45,5692.98,0.01979,0.99492,1,0.01822,0.00021471,0.00021471,0.00021471
46,5817.75,0.01562,0.99436,1,0.01836,0.000181703,0.000181703,0.000181703
47,5938.82,0.01618,0.99407,1,0.01735,0.000148696,0.000148696,0.000148696
48,6059.83,0.0141,0.99464,1,0.0164,0.00011569,0.00011569,0.00011569
49,6185.81,0.01248,0.99464,1,0.01643,8.26832e-05,8.26832e-05,8.26832e-05
50,6310.57,0.01576,0.99407,1,0.01616,4.96766e-05,4.96766e-05,4.96766e-05
