epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6164,0.7278,0.60079,0.94942,0.93978,0.91795,0.96021,0.83276,0.5742,0.39804,0.90315,0.000325926,0.000325926,0.000325926
2,101.093,0.6644,0.45626,0.90479,0.95453,0.91696,0.96308,0.8256,0.62723,0.39575,0.88901,0.000646206,0.000646206,0.000646206
3,146.423,0.64451,0.39996,0.8939,0.93809,0.93426,0.97395,0.8316,0.64065,0.39895,0.90257,0.000953286,0.000953286,0.000953286
4,191.108,0.65006,0.42321,0.88991,0.93784,0.9308,0.9771,0.83555,0.58796,0.39941,0.8756,0.0009406,0.0009406,0.0009406
5,234.366,0.62822,0.39314,0.87585,0.95231,0.91696,0.97544,0.84104,0.58676,0.38322,0.8919,0.0009208,0.0009208,0.0009208
6,277.397,0.61774,0.3821,0.87783,0.96365,0.92388,0.97539,0.82114,0.65379,0.39173,0.89977,0.000901,0.000901,0.000901
7,321.134,0.62007,0.3864,0.86174,0.91141,0.94118,0.9735,0.82456,0.62106,0.40723,0.89051,0.0008812,0.0008812,0.0008812
8,364.258,0.6172,0.38291,0.87795,0.93175,0.94464,0.97793,0.83144,0.60584,0.41129,0.88409,0.0008614,0.0008614,0.0008614
9,407.351,0.6073,0.37157,0.86271,0.95081,0.92388,0.9782,0.82262,0.66273,0.4141,0.90266,0.0008416,0.0008416,0.0008416
10,450.579,0.61251,0.37069,0.86508,0.96678,0.90623,0.97505,0.82502,0.65568,0.40802,0.89817,0.0008218,0.0008218,0.0008218
11,493.933,0.58885,0.35459,0.86725,0.9611,0.9405,0.98013,0.84673,0.5698,0.36968,0.87936,0.000802,0.000802,0.000802
12,537.31,0.58842,0.35247,0.86538,0.95107,0.9308,0.98198,0.8489,0.57342,0.37484,0.87899,0.0007822,0.0007822,0.0007822
13,580.458,0.58421,0.34755,0.85981,0.93761,0.95848,0.98109,0.83594,0.61511,0.37315,0.88126,0.0007624,0.0007624,0.0007624
14,624.041,0.55969,0.33676,0.85555,0.93796,0.95156,0.97927,0.84546,0.5865,0.37442,0.87734,0.0007426,0.0007426,0.0007426
15,667.737,0.5866,0.3481,0.8642,0.92833,0.96194,0.97796,0.83635,0.60645,0.3892,0.89582,0.0007228,0.0007228,0.0007228
16,711.083,0.56904,0.34451,0.85603,0.94498,0.9508,0.9818,0.85344,0.56831,0.36717,0.87571,0.000703,0.000703,0.000703
