epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,30.8881,0.17177,0.96353,1,0.35398,0.000234694,0.000234694,0.000234694
2,50.8286,0.11576,0.96657,1,0.34386,0.000463335,0.000463335,0.000463335
3,63.8988,0.1028,0.98176,1,0.33356,0.000682551,0.000682551,0.000682551
4,76.4869,0.09284,0.98176,1,0.3362,0.000671588,0.000671588,0.000671588
5,89.2343,0.11562,0.97264,1,0.34075,0.000657451,0.000657451,0.000657451
6,101.904,0.10314,0.9696,1,0.33782,0.000643314,0.000643314,0.000643314
7,114.58,0.0935,0.96353,1,0.34271,0.000629177,0.000629177,0.000629177
8,127.35,0.06978,0.98784,1,0.33263,0.00061504,0.00061504,0.00061504
9,140.077,0.06389,0.98176,1,0.33474,0.000600902,0.000600902,0.000600902
10,152.931,0.07046,0.97872,1,0.33272,0.000586765,0.000586765,0.000586765
11,165.195,0.06668,0.96657,1,0.35032,0.000572628,0.000572628,0.000572628
12,177.179,0.08014,0.96049,1,0.35232,0.000558491,0.000558491,0.000558491
13,189.202,0.07982,0.96657,1,0.34937,0.000544354,0.000544354,0.000544354
14,201.213,0.0588,0.96353,1,0.34395,0.000530216,0.000530216,0.000530216
15,213.333,0.09064,0.9696,1,0.33707,0.000516079,0.000516079,0.000516079
16,225.334,0.07459,0.96353,1,0.34253,0.000501942,0.000501942,0.000501942
17,237.304,0.07056,0.9848,1,0.32997,0.000487805,0.000487805,0.000487805
18,249.264,0.06683,0.96657,1,0.34515,0.000473668,0.000473668,0.000473668
19,261.275,0.05474,0.96657,1,0.34286,0.00045953,0.00045953,0.00045953
20,273.221,0.04721,0.97568,1,0.34413,0.000445393,0.000445393,0.000445393
21,285.313,0.05809,0.9848,1,0.33372,0.000431256,0.000431256,0.000431256
22,297.413,0.04819,0.97568,1,0.33918,0.000417119,0.000417119,0.000417119
23,309.239,0.04395,0.98176,1,0.33256,0.000402982,0.000402982,0.000402982
24,321.414,0.03056,0.97872,1,0.33565,0.000388844,0.000388844,0.000388844
25,333.399,0.04319,0.96353,1,0.34275,0.000374707,0.000374707,0.000374707
26,345.48,0.05162,0.98176,1,0.33083,0.00036057,0.00036057,0.00036057
27,357.419,0.04881,0.97872,1,0.33354,0.000346433,0.000346433,0.000346433
28,369.646,0.04636,0.98176,1,0.33181,0.000332296,0.000332296,0.000332296
29,381.734,0.03771,0.98176,1,0.33392,0.000318158,0.000318158,0.000318158
30,393.704,0.03855,0.9848,1,0.32906,0.000304021,0.000304021,0.000304021
31,405.947,0.03517,0.97568,1,0.33476,0.000289884,0.000289884,0.000289884
32,417.949,0.03118,0.9848,1,0.33176,0.000275747,0.000275747,0.000275747
33,429.963,0.03585,0.97872,1,0.34315,0.00026161,0.00026161,0.00026161
34,442.157,0.02656,0.98176,1,0.32988,0.000247472,0.000247472,0.000247472
35,454.052,0.02357,0.99088,1,0.3252,0.000233335,0.000233335,0.000233335
36,466.053,0.02276,0.99696,1,0.32506,0.000219198,0.000219198,0.000219198
37,478.072,0.02429,0.97568,1,0.33028,0.000205061,0.000205061,0.000205061
38,490.679,0.04979,0.9848,1,0.32983,0.000190924,0.000190924,0.000190924
39,504.228,0.02406,0.9848,1,0.32679,0.000176786,0.000176786,0.000176786
40,517.25,0.0275,0.99088,1,0.32468,0.000162649,0.000162649,0.000162649
41,586.248,0.02795,0.9848,1,0.32617,0.000148512,0.000148512,0.000148512
42,599.192,0.03246,0.98176,1,0.32866,0.000134375,0.000134375,0.000134375
43,612.166,0.02734,0.98784,1,0.34073,0.000120238,0.000120238,0.000120238
44,624.735,0.02519,0.9848,1,0.32886,0.0001061,0.0001061,0.0001061
45,637.428,0.0207,0.98176,1,0.32837,9.19632e-05,9.19632e-05,9.19632e-05
46,649.977,0.02499,0.9848,1,0.32759,7.7826e-05,7.7826e-05,7.7826e-05
47,662.533,0.02397,0.98784,1,0.32617,6.36888e-05,6.36888e-05,6.36888e-05
48,675.464,0.02654,0.98784,1,0.32429,4.95516e-05,4.95516e-05,4.95516e-05
49,689.359,0.01895,0.98784,1,0.32528,3.54144e-05,3.54144e-05,3.54144e-05
50,704.105,0.03082,0.99088,1,0.32382,2.12772e-05,2.12772e-05,2.12772e-05
