epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,421.129,0.44881,0.25681,0.82761,0.98526,0.92271,0.95726,0.90386,0.38602,0.21428,0.80563,0.000368822,0.000368822,0.000368822
2,743.776,0.44304,0.26102,0.82284,0.97876,0.99034,0.99378,0.92104,0.43995,0.24521,0.81724,0.00072452,0.00072452,0.00072452
3,1016.42,0.43887,0.26441,0.81979,0.98027,0.9917,0.99273,0.93974,0.39076,0.23331,0.80693,0.00106555,0.00106555,0.00106555
4,1661.73,0.44267,0.26806,0.82146,0.98426,0.99669,0.99435,0.93131,0.4039,0.23292,0.81018,0.00104501,0.00104501,0.00104501
5,2192.93,0.4337,0.26366,0.81898,0.98724,0.99826,0.99423,0.95259,0.35646,0.21641,0.80442,0.00102301,0.00102301,0.00102301
6,2720.43,0.42303,0.26,0.81964,0.99173,0.99116,0.99421,0.94878,0.35741,0.21862,0.80275,0.00100101,0.00100101,0.00100101
7,3247.81,0.41754,0.25506,0.81829,0.98208,0.99755,0.99433,0.94957,0.3602,0.21885,0.80065,0.000979013,0.000979013,0.000979013
8,3774.94,0.42487,0.25782,0.82136,0.98581,0.99397,0.99411,0.949,0.35775,0.22665,0.7999,0.000957015,0.000957015,0.000957015
9,4302.37,0.411,0.25876,0.81466,0.99199,0.98853,0.99436,0.94999,0.35045,0.21961,0.79709,0.000935018,0.000935018,0.000935018
10,4829.58,0.4065,0.25115,0.8146,0.98602,0.99586,0.99409,0.95356,0.35364,0.21816,0.79851,0.00091302,0.00091302,0.00091302
11,5356.54,0.40269,0.24853,0.81383,0.98833,0.99053,0.99392,0.95187,0.36339,0.22359,0.80013,0.000891022,0.000891022,0.000891022
12,5883.63,0.41124,0.25334,0.81781,0.98365,0.99527,0.9932,0.95273,0.33253,0.21241,0.79633,0.000869024,0.000869024,0.000869024
13,6410.57,0.40667,0.25021,0.81314,0.99358,0.99361,0.99432,0.95246,0.35422,0.21443,0.80024,0.000847026,0.000847026,0.000847026
14,6937.26,0.40015,0.24139,0.81429,0.99116,0.99635,0.99356,0.94993,0.35821,0.21918,0.80472,0.000825029,0.000825029,0.000825029
15,7464.51,0.39592,0.24316,0.81321,0.98592,0.99816,0.99439,0.95413,0.34103,0.20859,0.79839,0.000803031,0.000803031,0.000803031
16,7991.99,0.39372,0.23921,0.81055,0.98958,0.99661,0.9943,0.95492,0.34362,0.20603,0.79922,0.000781033,0.000781033,0.000781033
17,8519.1,0.3887,0.23809,0.81204,0.98852,0.99586,0.99438,0.95076,0.34771,0.20457,0.7983,0.000759035,0.000759035,0.000759035
18,9046.23,0.39005,0.23538,0.81211,0.99311,0.99215,0.9946,0.95842,0.33791,0.20444,0.79664,0.000737037,0.000737037,0.000737037
19,9573.64,0.38868,0.2387,0.81118,0.99306,0.9913,0.99413,0.95656,0.33387,0.20384,0.79588,0.00071504,0.00071504,0.00071504
20,10100.5,0.38538,0.23368,0.80864,0.99,0.99586,0.99427,0.96213,0.32384,0.19926,0.79546,0.000693042,0.000693042,0.000693042
21,10611.5,0.38696,0.23477,0.80756,0.9885,0.99724,0.99441,0.95255,0.35196,0.20582,0.79884,0.000671044,0.000671044,0.000671044
