epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,756.885,0.76068,1.80908,0.9378,0.90157,0.86683,0.94356,0.77889,0.61311,0.58742,0.8827,0.000369802,0.000369802,0.000369802
2,1472.95,0.69326,0.76487,0.93454,0.89375,0.86283,0.94202,0.81119,0.54936,0.59467,0.87342,0.000725481,0.000725481,0.000725481
3,2165.05,0.68517,0.62659,0.94016,0.88345,0.89574,0.94659,0.81262,0.56153,0.48577,0.87548,0.00106649,0.00106649,0.00106649
4,2860.65,0.66649,0.56771,0.92955,0.91135,0.8922,0.9606,0.83481,0.52676,0.44048,0.86441,0.00104501,0.00104501,0.00104501
5,3546.86,0.64602,0.54104,0.92355,0.90636,0.89749,0.96175,0.84336,0.51702,0.42014,0.86244,0.00102301,0.00102301,0.00102301
6,4240.62,0.62749,0.51461,0.91868,0.92278,0.89051,0.96421,0.8431,0.51595,0.41671,0.85849,0.00100101,0.00100101,0.00100101
7,4929.02,0.61976,0.49758,0.91633,0.91457,0.90773,0.96868,0.8521,0.50246,0.3886,0.86094,0.000979013,0.000979013,0.000979013
8,5616.9,0.60501,0.491,0.91333,0.91386,0.90973,0.96882,0.86271,0.48161,0.38658,0.85205,0.000957015,0.000957015,0.000957015
9,6307.24,0.59478,0.47292,0.90931,0.90545,0.92038,0.97036,0.86627,0.47501,0.3655,0.85189,0.000935018,0.000935018,0.000935018
10,6995.41,0.59161,0.46188,0.90699,0.92279,0.91081,0.97264,0.87217,0.45917,0.35309,0.84318,0.00091302,0.00091302,0.00091302
11,7685.75,0.57696,0.45414,0.89976,0.92611,0.91143,0.97399,0.88116,0.44365,0.34179,0.8385,0.000891022,0.000891022,0.000891022
12,8378.83,0.57005,0.44523,0.89848,0.92485,0.91235,0.97398,0.87891,0.45324,0.34234,0.84294,0.000869024,0.000869024,0.000869024
