epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.919,0.80733,0.72076,1.1297,0.91809,0.92,0.96065,0.81505,0.60281,0.47773,1.00841,0.00031,0.00031,0.00031
2,796.893,0.6945,0.48061,1.04723,0.96822,0.94783,0.97572,0.84087,0.58497,0.36757,0.97326,0.000617526,0.000617526,0.000617526
3,2123.55,0.65474,0.44282,1.00649,0.95042,0.93709,0.96773,0.83283,0.61541,0.40129,0.99307,0.00091238,0.00091238,0.00091238
4,2155.59,0.64001,0.42932,0.99316,0.95968,0.95211,0.97541,0.83478,0.5884,0.36688,0.98658,0.0009406,0.0009406,0.0009406
5,2187.28,0.63068,0.42271,0.99024,0.91607,0.97778,0.9774,0.83677,0.61256,0.36206,0.9683,0.0009208,0.0009208,0.0009208
6,2256.07,0.64744,0.43853,1.02218,0.98161,0.9487,0.98173,0.84327,0.601,0.38801,0.96029,0.000901,0.000901,0.000901
7,5580.17,0.6247,0.43091,0.98978,0.96796,0.95111,0.98608,0.84968,0.59227,0.37408,0.9625,0.0008812,0.0008812,0.0008812
8,7794.09,0.5845,0.37631,0.96035,0.9398,0.97138,0.98233,0.85099,0.57622,0.35347,0.95053,0.0008614,0.0008614,0.0008614
9,7825.66,0.60525,0.38571,0.96679,0.95637,0.97429,0.98078,0.84734,0.5853,0.37411,0.96065,0.0008416,0.0008416,0.0008416
10,7856.25,0.59181,0.39761,0.9757,0.95984,0.98222,0.98809,0.84221,0.60271,0.35087,0.96492,0.0008218,0.0008218,0.0008218
11,7886.28,0.5906,0.37127,0.96738,0.96402,0.9526,0.98167,0.84791,0.58307,0.34614,0.96184,0.000802,0.000802,0.000802
12,7916.26,0.5702,0.36779,0.95267,0.97546,0.97333,0.98287,0.85552,0.578,0.32802,0.95371,0.0007822,0.0007822,0.0007822
13,7946.47,0.56896,0.35601,0.96115,0.95459,0.94222,0.98624,0.85397,0.57238,0.36123,0.94266,0.0007624,0.0007624,0.0007624
14,7976.3,0.56476,0.36971,0.96576,0.95897,0.96889,0.98273,0.85871,0.55636,0.32688,0.93514,0.0007426,0.0007426,0.0007426
15,8006.5,0.54904,0.35097,0.94039,0.97746,0.96352,0.98305,0.85924,0.56084,0.31487,0.94586,0.0007228,0.0007228,0.0007228
16,8036.37,0.55137,0.35759,0.93099,0.98625,0.9566,0.98644,0.86356,0.56305,0.31822,0.93923,0.000703,0.000703,0.000703
17,8066.46,0.55982,0.3478,0.94268,0.98598,0.96,0.99,0.86066,0.57843,0.32849,0.94991,0.0006832,0.0006832,0.0006832
18,8096.38,0.55872,0.34947,0.96225,0.98163,0.94994,0.98369,0.85843,0.58774,0.34887,0.95566,0.0006634,0.0006634,0.0006634
19,8126.54,0.52813,0.32949,0.93076,0.973,0.96113,0.9832,0.86427,0.56341,0.31953,0.93733,0.0006436,0.0006436,0.0006436
20,8156.57,0.51719,0.32108,0.926,0.95814,0.94667,0.97878,0.85596,0.5821,0.35933,0.96707,0.0006238,0.0006238,0.0006238
21,8186.6,0.56743,0.38179,0.94684,0.98076,0.96444,0.98993,0.84885,0.56551,0.33073,0.95816,0.000604,0.000604,0.000604
22,8216.71,0.51992,0.31939,0.91811,0.97317,0.96731,0.9902,0.87323,0.55105,0.32989,0.94614,0.0005842,0.0005842,0.0005842
23,8246.54,0.51411,0.32284,0.9123,0.98636,0.96419,0.98906,0.87058,0.55876,0.32868,0.95449,0.0005644,0.0005644,0.0005644
24,8276.45,0.52635,0.341,0.93425,0.98633,0.96234,0.98757,0.86895,0.55269,0.33015,0.93967,0.0005446,0.0005446,0.0005446
25,8306.97,0.49613,0.32577,0.92557,0.9772,0.96444,0.98737,0.86463,0.54935,0.32366,0.94298,0.0005248,0.0005248,0.0005248
26,8337.2,0.49342,0.31399,0.91355,0.98033,0.96444,0.98681,0.85561,0.56557,0.32815,0.95184,0.000505,0.000505,0.000505
27,8367.26,0.49495,0.30858,0.92813,0.98937,0.94222,0.98279,0.85784,0.56582,0.33076,0.95459,0.0004852,0.0004852,0.0004852
28,8397.14,0.50818,0.31535,0.92915,0.96702,0.96,0.98147,0.85566,0.5723,0.35041,0.9508,0.0004654,0.0004654,0.0004654
29,8426.95,0.48275,0.30733,0.91557,0.9813,0.96444,0.98526,0.86321,0.54177,0.32897,0.92597,0.0004456,0.0004456,0.0004456
30,8456.44,0.48672,0.30443,0.9009,0.98637,0.96515,0.98747,0.8757,0.54353,0.32408,0.92955,0.0004258,0.0004258,0.0004258
31,8486.19,0.49262,0.31794,0.91252,0.98642,0.96835,0.98782,0.86372,0.55829,0.32297,0.94338,0.000406,0.000406,0.000406
32,8515.77,0.4721,0.31146,0.91731,0.98635,0.96354,0.98525,0.8751,0.54753,0.32522,0.93909,0.0003862,0.0003862,0.0003862
33,8545.49,0.48364,0.31293,0.92162,0.98962,0.97333,0.98774,0.87145,0.54754,0.31597,0.94367,0.0003664,0.0003664,0.0003664
34,8575.13,0.46748,0.29468,0.90105,0.98641,0.96773,0.98583,0.87671,0.54171,0.31135,0.93613,0.0003466,0.0003466,0.0003466
35,8604.68,0.46953,0.29163,0.90154,0.97307,0.96358,0.98346,0.87179,0.54983,0.31803,0.94462,0.0003268,0.0003268,0.0003268
36,8634.62,0.47222,0.29967,0.91044,0.982,0.97011,0.98607,0.86975,0.55312,0.31606,0.94864,0.000307,0.000307,0.000307
37,8664.52,0.4564,0.29069,0.89581,0.97298,0.96889,0.98366,0.86966,0.54947,0.31387,0.94123,0.0002872,0.0002872,0.0002872
38,8694.36,0.46284,0.28834,0.90647,0.9755,0.96,0.97913,0.86827,0.53893,0.30919,0.93795,0.0002674,0.0002674,0.0002674
39,8724.07,0.45569,0.28525,0.88679,0.96459,0.96848,0.97841,0.86728,0.54986,0.3118,0.94013,0.0002476,0.0002476,0.0002476
40,8753.91,0.4613,0.28641,0.90255,0.98314,0.96,0.98645,0.87543,0.53262,0.3189,0.92543,0.0002278,0.0002278,0.0002278
41,8850.17,0.42059,0.29086,0.86298,0.97592,0.97333,0.98574,0.85945,0.55547,0.30699,0.95295,0.000208,0.000208,0.000208
42,8879.81,0.42985,0.25618,0.87231,0.95951,0.96,0.97638,0.85618,0.55864,0.32582,0.95065,0.0001882,0.0001882,0.0001882
43,8909.31,0.40857,0.24552,0.84984,0.96591,0.96,0.97997,0.85584,0.54773,0.33117,0.94517,0.0001684,0.0001684,0.0001684
44,8938.82,0.39254,0.23469,0.85803,0.98255,0.95111,0.97994,0.85799,0.54259,0.32022,0.94667,0.0001486,0.0001486,0.0001486
45,8968.19,0.39345,0.24006,0.86277,0.97807,0.94667,0.97159,0.85651,0.54515,0.32415,0.94433,0.0001288,0.0001288,0.0001288
46,8997.6,0.39669,0.23123,0.84526,0.98166,0.9516,0.98158,0.86027,0.53294,0.31942,0.94038,0.000109,0.000109,0.000109
47,9026.86,0.39062,0.23632,0.86527,0.97533,0.95111,0.9788,0.86514,0.53662,0.31201,0.94351,8.92e-05,8.92e-05,8.92e-05
48,9056.17,0.41565,0.24691,0.88479,0.96833,0.95556,0.97767,0.8606,0.53313,0.31107,0.93942,6.94e-05,6.94e-05,6.94e-05
49,9085.63,0.38046,0.22772,0.84506,0.96834,0.95556,0.97757,0.86419,0.53238,0.30865,0.93992,4.96e-05,4.96e-05,4.96e-05
50,9115.33,0.37133,0.2286,0.83281,0.97281,0.954,0.97549,0.86582,0.53272,0.31009,0.9401,2.98e-05,2.98e-05,2.98e-05
