epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,30.5466,0.02122,0.9973,1,0.01521,0.000399981,0.000399981,0.000399981
2,56.2193,0.02196,0.99324,1,0.01998,0.000786608,0.000786608,0.000786608
3,81.2221,0.03525,0.98784,1,0.02385,0.00115735,0.00115735,0.00115735
4,106,0.0564,0.96081,1,0.08998,0.0015122,0.0015122,0.0015122
5,131.91,0.08289,0.97568,1,0.07451,0.0015354,0.0015354,0.0015354
6,158.052,0.04868,0.98649,1,0.04223,0.00150249,0.00150249,0.00150249
7,182.39,0.03507,0.99054,1,0.02761,0.00146959,0.00146959,0.00146959
8,206.592,0.04086,0.97568,1,0.07695,0.00143669,0.00143669,0.00143669
9,230.918,0.04661,0.98919,1,0.03748,0.00140379,0.00140379,0.00140379
10,257.441,0.04397,0.98378,1,0.04687,0.00137089,0.00137089,0.00137089
11,282.076,0.0443,0.98784,1,0.03073,0.00133799,0.00133799,0.00133799
12,306.348,0.04719,0.98514,1,0.02716,0.00130509,0.00130509,0.00130509
13,330.751,0.02634,0.98919,1,0.04081,0.00127219,0.00127219,0.00127219
14,355.066,0.03198,0.98919,1,0.02072,0.00123928,0.00123928,0.00123928
15,379.937,0.02709,0.99324,1,0.02514,0.00120638,0.00120638,0.00120638
16,404.609,0.02195,0.99324,1,0.02124,0.00117348,0.00117348,0.00117348
17,428.867,0.01609,0.99595,1,0.01341,0.00114058,0.00114058,0.00114058
18,453.186,0.02126,0.99324,1,0.01674,0.00110768,0.00110768,0.00110768
19,477.673,0.02278,0.98919,1,0.03238,0.00107478,0.00107478,0.00107478
20,503.721,0.02933,0.98919,1,0.02759,0.00104188,0.00104188,0.00104188
21,529.546,0.02693,0.99189,1,0.02178,0.00100898,0.00100898,0.00100898
22,554.597,0.01736,0.98378,1,0.05039,0.000976074,0.000976074,0.000976074
23,578.95,0.0181,0.99054,1,0.02231,0.000943173,0.000943173,0.000943173
24,603.198,0.01407,0.99459,1,0.01654,0.000910271,0.000910271,0.000910271
25,627.628,0.02025,0.98784,1,0.0392,0.00087737,0.00087737,0.00087737
26,652.04,0.0163,0.99324,1,0.02211,0.000844469,0.000844469,0.000844469
27,676.193,0.01763,0.99054,1,0.0294,0.000811568,0.000811568,0.000811568
28,700.556,0.02216,0.98919,1,0.02923,0.000778666,0.000778666,0.000778666
29,725.007,0.01528,0.98784,1,0.0343,0.000745765,0.000745765,0.000745765
30,750.754,0.01203,0.99595,1,0.01627,0.000712864,0.000712864,0.000712864
31,775.528,0.01693,0.99054,1,0.02714,0.000679963,0.000679963,0.000679963
32,799.852,0.01225,0.99459,1,0.02001,0.000647061,0.000647061,0.000647061
33,824.309,0.01494,0.99459,1,0.01608,0.00061416,0.00061416,0.00061416
34,849.375,0.01782,0.99324,1,0.01611,0.000581259,0.000581259,0.000581259
35,874.253,0.00897,0.99459,1,0.01337,0.000548358,0.000548358,0.000548358
36,898.907,0.01002,0.9973,1,0.00994,0.000515456,0.000515456,0.000515456
37,923.191,0.01326,0.99189,1,0.01595,0.000482555,0.000482555,0.000482555
38,947.454,0.0174,0.9973,1,0.0085,0.000449654,0.000449654,0.000449654
39,971.869,0.0101,0.99595,1,0.01068,0.000416753,0.000416753,0.000416753
40,997.261,0.00794,0.9973,1,0.00728,0.000383851,0.000383851,0.000383851
41,1063.22,0.00395,0.9973,1,0.00637,0.00035095,0.00035095,0.00035095
42,1087.7,0.00877,0.99595,1,0.01038,0.000318049,0.000318049,0.000318049
43,1112.18,0.00565,0.99595,1,0.01083,0.000285148,0.000285148,0.000285148
44,1136.77,0.00527,0.99459,1,0.0117,0.000252246,0.000252246,0.000252246
45,1162.19,0.00871,0.9973,1,0.00616,0.000219345,0.000219345,0.000219345
46,1187.61,0.00629,0.9973,1,0.00712,0.000186444,0.000186444,0.000186444
47,1212.56,0.00507,0.9973,1,0.00765,0.000153543,0.000153543,0.000153543
48,1237.97,0.00516,0.99865,1,0.00677,0.000120641,0.000120641,0.000120641
49,1263.01,0.00459,0.9973,1,0.00632,8.77402e-05,8.77402e-05,8.77402e-05
50,1289.29,0.00453,0.99865,1,0.00664,5.4839e-05,5.4839e-05,5.4839e-05
