epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,359.016,1.00441,1.29189,1.2522,0.9827,0.95638,0.98958,0.91168,0.40366,0.33194,0.82403,0.000367027,0.000367027,0.000367027
2,543.038,0.74165,0.71882,1.02386,0.99023,0.94806,0.98935,0.90346,0.43164,0.32896,0.8306,0.00072276,0.00072276,0.00072276
3,692.499,0.7126,0.68301,1.00425,0.98934,0.98406,0.99449,0.89436,0.46548,0.26562,0.83625,0.00106383,0.00106383,0.00106383
4,839.857,0.70476,0.67116,0.99723,0.9899,0.99002,0.99474,0.89397,0.46514,0.26691,0.83558,0.00104501,0.00104501,0.00104501
5,982.357,0.67829,0.63111,0.98189,0.9889,0.99002,0.99467,0.88986,0.48768,0.26238,0.84136,0.00102301,0.00102301,0.00102301
6,1127.93,0.66498,0.61753,0.97272,0.99,0.98748,0.99457,0.89805,0.463,0.25352,0.83897,0.00100101,0.00100101,0.00100101
7,1264.81,0.66311,0.61408,0.96856,0.99336,0.98379,0.99468,0.90345,0.44629,0.25243,0.82745,0.000979013,0.000979013,0.000979013
8,1406.87,0.6522,0.60016,0.96728,0.99247,0.98626,0.99445,0.89468,0.47268,0.25269,0.83195,0.000957015,0.000957015,0.000957015
9,1551.31,0.65221,0.59101,0.96386,0.98758,0.99144,0.99455,0.8949,0.47706,0.25302,0.83146,0.000935018,0.000935018,0.000935018
10,1691.84,0.63563,0.5803,0.95632,0.98563,0.98317,0.9941,0.89789,0.46786,0.25149,0.83146,0.00091302,0.00091302,0.00091302
11,1981.47,0.63179,0.57229,0.95964,0.98778,0.98317,0.99434,0.89454,0.47401,0.26193,0.83079,0.000891022,0.000891022,0.000891022
12,2368.98,0.63633,0.57957,0.95888,0.99188,0.99016,0.99467,0.88913,0.48275,0.25514,0.83852,0.000869024,0.000869024,0.000869024
13,2509.69,0.62044,0.5598,0.95153,0.98435,0.99439,0.9945,0.88754,0.46705,0.24502,0.83265,0.000847026,0.000847026,0.000847026
14,2650.34,0.62118,0.56114,0.95189,0.98294,0.99127,0.99453,0.90655,0.456,0.24731,0.82897,0.000825029,0.000825029,0.000825029
15,2791.2,0.61333,0.55029,0.94133,0.99369,0.98232,0.99455,0.90601,0.44696,0.24671,0.83429,0.000803031,0.000803031,0.000803031
16,2934.87,0.61638,0.55393,0.94805,0.99221,0.98628,0.99461,0.90216,0.44666,0.24459,0.83337,0.000781033,0.000781033,0.000781033
17,3076.79,0.60925,0.53519,0.94471,0.98872,0.99002,0.99456,0.88057,0.49067,0.26076,0.84775,0.000759035,0.000759035,0.000759035
18,3221.54,0.60585,0.54225,0.94127,0.98266,0.98933,0.99431,0.88443,0.49058,0.2549,0.84458,0.000737037,0.000737037,0.000737037
19,3367.24,0.61274,0.53826,0.94367,0.98926,0.98691,0.99454,0.89255,0.47747,0.25335,0.84007,0.00071504,0.00071504,0.00071504
20,3510.8,0.6012,0.52676,0.93504,0.98515,0.99259,0.9946,0.89428,0.46697,0.24379,0.84096,0.000693042,0.000693042,0.000693042
21,3653.24,0.60309,0.52934,0.94294,0.98984,0.98691,0.9946,0.897,0.47391,0.24535,0.83648,0.000671044,0.000671044,0.000671044
22,3795.59,0.59343,0.53095,0.9348,0.98736,0.98379,0.9945,0.89709,0.46957,0.25098,0.83763,0.000649046,0.000649046,0.000649046
23,3944.97,0.57974,0.5101,0.92788,0.9931,0.98704,0.99466,0.89411,0.46752,0.24903,0.84099,0.000627048,0.000627048,0.000627048
24,4091.33,0.59089,0.51798,0.93448,0.99484,0.98379,0.99448,0.89635,0.45928,0.24179,0.83676,0.000605051,0.000605051,0.000605051
25,4233.16,0.58581,0.5112,0.93371,0.99162,0.98566,0.99464,0.88955,0.48984,0.24784,0.84499,0.000583053,0.000583053,0.000583053
26,4377.34,0.58256,0.50613,0.93201,0.99408,0.98566,0.99467,0.90162,0.46004,0.24328,0.83629,0.000561055,0.000561055,0.000561055
27,4518.34,0.5814,0.50047,0.92728,0.99247,0.98591,0.99471,0.89021,0.48053,0.24251,0.83889,0.000539057,0.000539057,0.000539057
28,4659.28,0.57567,0.5018,0.92834,0.99372,0.9868,0.9946,0.88865,0.48912,0.24542,0.84113,0.000517059,0.000517059,0.000517059
29,4802.56,0.58841,0.51154,0.92975,0.99305,0.98504,0.99454,0.90232,0.463,0.24202,0.83985,0.000495062,0.000495062,0.000495062
30,4946.32,0.57377,0.49047,0.92816,0.9906,0.98549,0.99461,0.89274,0.47226,0.24498,0.84019,0.000473064,0.000473064,0.000473064
31,5110.36,0.56436,0.484,0.92226,0.99119,0.98218,0.99399,0.89764,0.45336,0.24393,0.83483,0.000451066,0.000451066,0.000451066
32,5256.03,0.57145,0.49394,0.92848,0.98997,0.98476,0.99455,0.89358,0.48122,0.24834,0.83816,0.000429068,0.000429068,0.000429068
33,5399.31,0.5723,0.48176,0.92724,0.98875,0.98642,0.99459,0.89861,0.46267,0.23928,0.83651,0.00040707,0.00040707,0.00040707
34,5541.99,0.56108,0.48473,0.92192,0.99197,0.98254,0.9945,0.89551,0.46952,0.24341,0.84522,0.000385073,0.000385073,0.000385073
35,5683.18,0.56057,0.48178,0.92266,0.98848,0.98441,0.99414,0.89244,0.47447,0.24686,0.84517,0.000363075,0.000363075,0.000363075
36,5824.19,0.56532,0.47167,0.92346,0.99059,0.98483,0.9946,0.90256,0.45732,0.23364,0.83664,0.000341077,0.000341077,0.000341077
37,5993.18,0.56126,0.47503,0.91841,0.99119,0.98379,0.99462,0.89861,0.47283,0.24013,0.83846,0.000319079,0.000319079,0.000319079
38,6419.84,0.56491,0.4753,0.92369,0.99183,0.98334,0.99453,0.89912,0.46689,0.24029,0.83883,0.000297081,0.000297081,0.000297081
39,6649.78,0.56297,0.47683,0.92055,0.98905,0.98441,0.99456,0.89796,0.46256,0.23693,0.83579,0.000275084,0.000275084,0.000275084
40,6789.54,0.55364,0.46237,0.92191,0.99058,0.98299,0.99459,0.89687,0.46464,0.23896,0.83992,0.000253086,0.000253086,0.000253086
41,7136.98,0.54376,0.47554,0.89954,0.99376,0.96384,0.99174,0.88841,0.46833,0.25485,0.84266,0.000231088,0.000231088,0.000231088
42,7284.95,0.52892,0.44107,0.89719,0.99171,0.97005,0.99317,0.88945,0.47514,0.25523,0.84543,0.00020909,0.00020909,0.00020909
43,7425.94,0.52739,0.43062,0.89241,0.99047,0.97209,0.99274,0.89577,0.45873,0.2527,0.84027,0.000187092,0.000187092,0.000187092
44,7569.98,0.52476,0.43212,0.89277,0.98706,0.97382,0.99331,0.89839,0.45803,0.24352,0.84193,0.000165095,0.000165095,0.000165095
45,7717.46,0.51779,0.42311,0.888,0.99176,0.97548,0.9938,0.89394,0.46236,0.24488,0.84248,0.000143097,0.000143097,0.000143097
46,7859.26,0.51325,0.41394,0.88884,0.98798,0.97333,0.99358,0.89371,0.46759,0.24315,0.84195,0.000121099,0.000121099,0.000121099
47,8006.52,0.51619,0.41585,0.88669,0.99228,0.97257,0.99391,0.89343,0.46745,0.2419,0.84457,9.91012e-05,9.91012e-05,9.91012e-05
48,8149.45,0.51114,0.41435,0.88616,0.99242,0.97319,0.99395,0.89574,0.46526,0.24293,0.84443,7.71034e-05,7.71034e-05,7.71034e-05
49,8292.16,0.51236,0.41745,0.88769,0.9905,0.97537,0.99411,0.89266,0.4653,0.24184,0.84378,5.51056e-05,5.51056e-05,5.51056e-05
50,8436.17,0.51651,0.41425,0.88693,0.9905,0.97495,0.99392,0.89665,0.45984,0.24102,0.84125,3.31078e-05,3.31078e-05,3.31078e-05
