epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.9077,0.05736,0.99355,1,0.01709,0.000396905,0.000396905,0.000396905
2,47.2183,0.02817,0.99032,1,0.03659,0.000780994,0.000780994,0.000780994
3,68.4251,0.05966,0.98226,1,0.04698,0.00114927,0.00114927,0.00114927
4,89.3423,0.06011,0.99516,1,0.0167,0.00150173,0.00150173,0.00150173
5,110.557,0.03948,0.98387,1,0.0388,0.00153514,0.00153514,0.00153514
6,132.131,0.03787,0.98871,1,0.02703,0.00150217,0.00150217,0.00150217
7,153.382,0.04044,0.95645,1,0.12446,0.00146921,0.00146921,0.00146921
8,173.913,0.0491,0.98548,1,0.03643,0.00143624,0.00143624,0.00143624
9,194.525,0.0305,0.99677,1,0.01221,0.00140328,0.00140328,0.00140328
10,215.158,0.03197,0.9871,1,0.02823,0.00137031,0.00137031,0.00137031
11,235.941,0.05431,0.99516,1,0.01772,0.00133735,0.00133735,0.00133735
12,257.488,0.03825,0.98871,1,0.03171,0.00130438,0.00130438,0.00130438
13,278.757,0.0356,0.99355,1,0.02271,0.00127142,0.00127142,0.00127142
14,299.66,0.0335,0.98871,1,0.02853,0.00123845,0.00123845,0.00123845
15,320.351,0.03261,0.99516,1,0.01694,0.00120549,0.00120549,0.00120549
16,341.14,0.02113,0.99516,1,0.01471,0.00117252,0.00117252,0.00117252
17,361.969,0.02412,0.99677,1,0.01059,0.00113956,0.00113956,0.00113956
18,383.166,0.03523,0.99677,1,0.0131,0.00110659,0.00110659,0.00110659
19,404.323,0.0236,0.99516,1,0.01223,0.00107363,0.00107363,0.00107363
20,425.067,0.03372,0.99516,1,0.01636,0.00104066,0.00104066,0.00104066
21,445.633,0.02567,0.99839,1,0.01878,0.00100769,0.00100769,0.00100769
22,466.36,0.02613,0.99677,1,0.01068,0.00097473,0.00097473,0.00097473
23,487.127,0.0209,0.99839,1,0.01666,0.000941764,0.000941764,0.000941764
24,508.705,0.01036,0.99516,1,0.00812,0.000908799,0.000908799,0.000908799
25,529.719,0.01817,0.99677,1,0.01535,0.000875834,0.000875834,0.000875834
26,550.389,0.01598,0.99355,1,0.01711,0.000842869,0.000842869,0.000842869
27,571.211,0.01648,0.99516,1,0.01587,0.000809903,0.000809903,0.000809903
28,592.1,0.01496,0.99677,1,0.01283,0.000776938,0.000776938,0.000776938
29,612.794,0.03407,0.99516,1,0.00959,0.000743973,0.000743973,0.000743973
30,633.723,0.02391,0.99839,1,0.00671,0.000711008,0.000711008,0.000711008
31,654.942,0.01423,0.99355,1,0.01247,0.000678042,0.000678042,0.000678042
32,675.593,0.02248,0.99677,1,0.008,0.000645077,0.000645077,0.000645077
33,696.193,0.01118,1,1,0.00644,0.000612112,0.000612112,0.000612112
34,716.951,0.01494,0.99677,1,0.00656,0.000579146,0.000579146,0.000579146
35,737.675,0.01644,0.99677,1,0.00618,0.000546181,0.000546181,0.000546181
36,759.286,0.01961,0.99839,1,0.00557,0.000513216,0.000513216,0.000513216
37,780.302,0.01344,1,1,0.00433,0.000480251,0.000480251,0.000480251
38,801,0.00986,0.99516,1,0.01192,0.000447285,0.000447285,0.000447285
39,821.768,0.00872,0.99839,1,0.00515,0.00041432,0.00041432,0.00041432
40,842.499,0.01006,0.99839,1,0.00378,0.000381355,0.000381355,0.000381355
41,903.276,0.00745,1,1,0.00456,0.00034839,0.00034839,0.00034839
42,924.696,0.009,0.99839,1,0.00649,0.000315424,0.000315424,0.000315424
43,945.857,0.00599,1,1,0.00438,0.000282459,0.000282459,0.000282459
44,966.929,0.00657,0.99839,1,0.00463,0.000249494,0.000249494,0.000249494
45,987.855,0.00674,0.99839,1,0.00477,0.000216529,0.000216529,0.000216529
46,1008.66,0.00852,0.99839,1,0.00763,0.000183563,0.000183563,0.000183563
47,1029.47,0.01212,0.99839,1,0.00381,0.000150598,0.000150598,0.000150598
48,1051.17,0.00758,1,1,0.00257,0.000117633,0.000117633,0.000117633
49,1072.29,0.00409,1,1,0.00227,8.46676e-05,8.46676e-05,8.46676e-05
50,1093.11,0.008,1,1,0.00262,5.17023e-05,5.17023e-05,5.17023e-05
