epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,652.358,0.41215,0.25087,0.82188,0.97947,0.98053,0.99208,0.95374,0.33665,0.2283,0.79442,0.000369488,0.000369488,0.000369488
2,1135.6,0.40715,0.25153,0.81684,0.98285,0.97935,0.99349,0.95457,0.3323,0.23536,0.7942,0.000725173,0.000725173,0.000725173
3,1608.54,0.41001,0.26149,0.8197,0.9788,0.98511,0.99333,0.93955,0.36284,0.24945,0.80267,0.00106619,0.00106619,0.00106619
4,2077.72,0.41147,0.26367,0.82036,0.97886,0.98278,0.99393,0.94218,0.36135,0.24711,0.79886,0.00104501,0.00104501,0.00104501
5,2547.09,0.41041,0.26034,0.81866,0.97812,0.98518,0.99387,0.953,0.33906,0.23263,0.79551,0.00102301,0.00102301,0.00102301
6,3016.17,0.4076,0.26088,0.82018,0.98258,0.98323,0.99376,0.94758,0.36047,0.24434,0.79868,0.00100101,0.00100101,0.00100101
7,3485.44,0.40647,0.2589,0.81769,0.97933,0.99036,0.99423,0.95126,0.34247,0.23298,0.79881,0.000979013,0.000979013,0.000979013
8,3960.25,0.40081,0.25299,0.81527,0.98707,0.98451,0.99435,0.95565,0.33009,0.22778,0.7924,0.000957015,0.000957015,0.000957015
9,4435.56,0.39601,0.25059,0.81631,0.98195,0.98379,0.9936,0.95289,0.32776,0.2312,0.79086,0.000935018,0.000935018,0.000935018
10,4904.98,0.39519,0.25106,0.81521,0.98801,0.98746,0.99428,0.95778,0.31857,0.21879,0.79141,0.00091302,0.00091302,0.00091302
11,5375.87,0.39363,0.24689,0.81666,0.98105,0.98657,0.99428,0.95297,0.33173,0.22061,0.79449,0.000891022,0.000891022,0.000891022
12,5846.9,0.38851,0.24513,0.81385,0.98185,0.9871,0.99433,0.95849,0.31707,0.2162,0.79046,0.000869024,0.000869024,0.000869024
13,6317.06,0.39036,0.24325,0.81365,0.98359,0.99231,0.9945,0.95258,0.3365,0.22137,0.79382,0.000847026,0.000847026,0.000847026
14,6786.11,0.38731,0.24176,0.81435,0.98964,0.98367,0.99452,0.95733,0.32413,0.21177,0.79183,0.000825029,0.000825029,0.000825029
15,7260.25,0.38103,0.24035,0.81082,0.98325,0.98871,0.99441,0.95597,0.32345,0.2121,0.7923,0.000803031,0.000803031,0.000803031
16,7735.62,0.38236,0.23664,0.81435,0.98414,0.98534,0.99418,0.95679,0.32787,0.21522,0.79184,0.000781033,0.000781033,0.000781033
17,8209.84,0.3767,0.2364,0.81024,0.98404,0.98814,0.99413,0.96171,0.31459,0.21712,0.79184,0.000759035,0.000759035,0.000759035
18,8681.7,0.3815,0.23916,0.81292,0.97926,0.99195,0.99451,0.96311,0.30934,0.20717,0.78572,0.000737037,0.000737037,0.000737037
19,9151.67,0.37248,0.23122,0.80809,0.98847,0.98733,0.99442,0.96,0.32205,0.21074,0.78984,0.00071504,0.00071504,0.00071504
